block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t1,1,Z,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,2,1,target,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,3,T,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,4,I,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,5,O,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,6,V,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,7, ,mask,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,8,L,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,9,M,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,10,K,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,11,A,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,12,J,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,13,Y,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,14,L,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,15,D,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,16,E,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,17,F,distractor,0,0,0,0,0,0,0,0,0,16,16,16,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
1,short,t1,18,A,distractor,0,0,0,0,0,0,0,0,0,17,17,17,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
,,,,,,0,0,0,0,0,0,0,0,,,,,7,1.10061682481,7,0.115243748121,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,1,T,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,2,E,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,3,G,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,4, ,mask,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,5,8,target,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,6,X,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,7,B,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,8,N,distractor,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,9,Q,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,10,G,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,11,B,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,12,O,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,13,T,distractor,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,14,7,target,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,15,P,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
2,long,t2,16,B,distractor,0,0,0,0,1,0,1,0,0,15,15,15,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
,,,,,,0,0,0,0,1,0,1,0,,,,,5,0.63328012923,5,0.185421755596,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,1,H,distractor,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,2,Y,distractor,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,3,W,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,4,V,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,5,E,distractor,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
3,short,t1,6,J,distractor,0,0,0,0,2,0,2,0,0,5,5,5,,,,,2018_Oct_17_1559,1010,rsvp,r3,59.7166028386,
