22.7708 	EXP 	Imported tmp_stimuli.csv as conditions, 16 conditions, 6 params
22.7712 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
22.7716 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 1), ('stimulus', u'N'), ('cond', u'distractor')])
22.8146 	EXP 	text: autoDraw = False
22.8146 	EXP 	text: autoDraw = False
22.8146 	EXP 	text_2: text = u'N'
22.8146 	EXP 	text_2: autoDraw = True
22.8344 	EXP 	text_2: autoDraw = False
22.8529 	EXP 	mask: autoDraw = True
22.8537 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 2), ('stimulus', u'A'), ('cond', u'distractor')])
22.8978 	EXP 	text_2: autoDraw = False
22.8978 	EXP 	mask: autoDraw = False
22.8978 	EXP 	text_2: text = u'A'
22.8978 	EXP 	text_2: autoDraw = True
22.9168 	EXP 	text_2: autoDraw = False
22.9340 	EXP 	mask: autoDraw = True
22.9346 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 3), ('stimulus', u'O'), ('cond', u'distractor')])
22.9814 	EXP 	mask: autoDraw = False
22.9814 	EXP 	text_2: autoDraw = False
22.9814 	EXP 	mask: autoDraw = False
22.9814 	EXP 	text_2: text = u'O'
22.9814 	EXP 	text_2: autoDraw = True
23.0008 	EXP 	text_2: autoDraw = False
23.0180 	EXP 	mask: autoDraw = True
23.0187 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 4), ('stimulus', u'1'), ('cond', u'target')])
23.0635 	EXP 	mask: autoDraw = False
23.0635 	EXP 	text_2: autoDraw = False
23.0635 	EXP 	mask: autoDraw = False
23.0635 	EXP 	text_2: text = u'1'
23.0635 	EXP 	text_2: autoDraw = True
23.0840 	EXP 	text_2: autoDraw = False
23.1001 	EXP 	mask: autoDraw = True
23.1007 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 5), ('stimulus', u' '), ('cond', u'mask')])
23.1182 	EXP 	mask: autoDraw = False
23.1182 	EXP 	text_2: autoDraw = False
23.1182 	EXP 	mask: autoDraw = False
23.1182 	EXP 	text_2: text = u' '
23.1182 	EXP 	text_2: autoDraw = True
23.1671 	EXP 	text_2: autoDraw = False
23.1671 	EXP 	mask: autoDraw = True
23.1842 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 6), ('stimulus', u'N'), ('cond', u'distractor')])
23.2026 	EXP 	mask: autoDraw = False
23.2026 	EXP 	text_2: autoDraw = False
23.2026 	EXP 	mask: autoDraw = False
23.2026 	EXP 	text_2: text = u'N'
23.2026 	EXP 	text_2: autoDraw = True
23.2505 	EXP 	text_2: autoDraw = False
23.2505 	EXP 	mask: autoDraw = True
23.2673 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 7), ('stimulus', u'R'), ('cond', u'distractor')])
23.3013 	DATA 	Keypress: escape
23.3113 	EXP 	mask: autoDraw = False
23.3113 	EXP 	text_2: autoDraw = False
23.3113 	EXP 	mask: autoDraw = False
23.3113 	EXP 	text_2: text = u'R'
23.3113 	EXP 	text_2: autoDraw = True
23.3344 	EXP 	text_2: autoDraw = False
23.3505 	EXP 	mask: autoDraw = True
23.3511 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 8), ('stimulus', u'5'), ('cond', u'target')])
23.3983 	EXP 	mask: autoDraw = False
23.3983 	EXP 	text_2: autoDraw = False
23.3983 	EXP 	mask: autoDraw = False
23.3983 	EXP 	text_2: text = u'5'
23.3983 	EXP 	text_2: autoDraw = True
23.4173 	EXP 	text_2: autoDraw = False
23.4345 	EXP 	mask: autoDraw = True
23.4351 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 9), ('stimulus', u'X'), ('cond', u'distractor')])
23.4828 	EXP 	mask: autoDraw = False
23.4828 	EXP 	text_2: autoDraw = False
23.4828 	EXP 	mask: autoDraw = False
23.4828 	EXP 	text_2: text = u'X'
23.4828 	EXP 	text_2: autoDraw = True
23.5028 	EXP 	text_2: autoDraw = False
23.5196 	EXP 	mask: autoDraw = True
23.5203 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 10), ('stimulus', u'D'), ('cond', u'distractor')])
23.5643 	EXP 	mask: autoDraw = False
23.5643 	EXP 	text_2: autoDraw = False
23.5643 	EXP 	mask: autoDraw = False
23.5643 	EXP 	text_2: text = u'D'
23.5643 	EXP 	text_2: autoDraw = True
23.5845 	EXP 	text_2: autoDraw = False
23.6004 	EXP 	mask: autoDraw = True
23.6009 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 11), ('stimulus', u'A'), ('cond', u'distractor')])
23.6206 	EXP 	mask: autoDraw = False
23.6206 	EXP 	text_2: autoDraw = False
23.6206 	EXP 	mask: autoDraw = False
23.6206 	EXP 	text_2: text = u'A'
23.6206 	EXP 	text_2: autoDraw = True
23.6677 	EXP 	text_2: autoDraw = False
23.6848 	EXP 	mask: autoDraw = True
23.6854 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 12), ('stimulus', u'K'), ('cond', u'distractor')])
23.7295 	EXP 	mask: autoDraw = False
23.7295 	EXP 	text_2: autoDraw = False
23.7295 	EXP 	mask: autoDraw = False
23.7295 	EXP 	text_2: text = u'K'
23.7295 	EXP 	text_2: autoDraw = True
23.7515 	EXP 	text_2: autoDraw = False
23.7681 	EXP 	mask: autoDraw = True
23.7688 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 13), ('stimulus', u'L'), ('cond', u'distractor')])
23.8136 	EXP 	mask: autoDraw = False
23.8136 	EXP 	text_2: autoDraw = False
23.8136 	EXP 	mask: autoDraw = False
23.8136 	EXP 	text_2: text = u'L'
23.8136 	EXP 	text_2: autoDraw = True
23.8353 	EXP 	text_2: autoDraw = False
23.8505 	EXP 	mask: autoDraw = True
23.8511 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 14), ('stimulus', u'D'), ('cond', u'distractor')])
23.8714 	EXP 	mask: autoDraw = False
23.8714 	EXP 	text_2: autoDraw = False
23.8714 	EXP 	mask: autoDraw = False
23.8714 	EXP 	text_2: text = u'D'
23.8714 	EXP 	text_2: autoDraw = True
23.9175 	EXP 	text_2: autoDraw = False
23.9358 	EXP 	mask: autoDraw = True
23.9372 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 15), ('stimulus', u'U'), ('cond', u'distractor')])
24.0217 	EXP 	mask: autoDraw = False
24.0217 	EXP 	text_2: autoDraw = False
24.0217 	EXP 	mask: autoDraw = False
24.0217 	EXP 	text_2: text = u'U'
24.0217 	EXP 	text_2: autoDraw = True
24.0217 	EXP 	text_2: autoDraw = False
24.0217 	EXP 	mask: autoDraw = True
24.0228 	EXP 	New trial (rep=0, index=15): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't2'), ('trial', 16), ('stimulus', u'B'), ('cond', u'distractor')])
24.0693 	DATA 	Keypress: lshift
24.0793 	EXP 	mask: autoDraw = False
24.0793 	EXP 	text_2: autoDraw = False
24.0793 	EXP 	mask: autoDraw = False
24.0793 	EXP 	text_2: text = u'B'
24.0793 	EXP 	text_2: autoDraw = True
24.0793 	EXP 	text_2: autoDraw = False
24.1012 	EXP 	mask: autoDraw = True
24.1177 	EXP 	mask: autoDraw = False
24.1177 	EXP 	text_2: autoDraw = False
24.1177 	EXP 	mask: autoDraw = False
24.2194 	DATA 	Keypress: escape
24.2195 	EXP 	Global key event: forcequit. Calling <function quitExp at 0x112F7430>.
24.2977 	EXP 	window1: mouseVisible = True
