9.9074 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 5), ('stimulus', u'E'), ('cond', u'distractor')])
9.9539 	EXP 	mask: autoDraw = False
9.9539 	EXP 	text_2: autoDraw = False
9.9539 	EXP 	mask: autoDraw = False
9.9539 	EXP 	text_2: text = u'E'
9.9539 	EXP 	text_2: autoDraw = True
9.9734 	EXP 	text_2: autoDraw = False
9.9902 	EXP 	mask: autoDraw = True
9.9908 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 6), ('stimulus', u'P'), ('cond', u'distractor')])
10.0107 	EXP 	mask: autoDraw = False
10.0107 	EXP 	text_2: autoDraw = False
10.0107 	EXP 	mask: autoDraw = False
10.0107 	EXP 	text_2: text = u'P'
10.0107 	EXP 	text_2: autoDraw = True
10.0566 	EXP 	text_2: autoDraw = False
10.0729 	EXP 	mask: autoDraw = True
10.0735 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 7), ('stimulus', u' '), ('cond', u'mask')])
10.0926 	EXP 	mask: autoDraw = False
10.0926 	EXP 	text_2: autoDraw = False
10.0926 	EXP 	mask: autoDraw = False
10.0926 	EXP 	text_2: text = u' '
10.0926 	EXP 	text_2: autoDraw = True
10.1405 	EXP 	text_2: autoDraw = False
10.1589 	EXP 	mask: autoDraw = True
10.1601 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 8), ('stimulus', u'R'), ('cond', u'distractor')])
10.2067 	EXP 	mask: autoDraw = False
10.2067 	EXP 	text_2: autoDraw = False
10.2067 	EXP 	mask: autoDraw = False
10.2067 	EXP 	text_2: text = u'R'
10.2067 	EXP 	text_2: autoDraw = True
10.2229 	EXP 	text_2: autoDraw = False
10.2398 	EXP 	mask: autoDraw = True
10.2404 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 9), ('stimulus', u'I'), ('cond', u'distractor')])
10.2873 	EXP 	mask: autoDraw = False
10.2873 	EXP 	text_2: autoDraw = False
10.2873 	EXP 	mask: autoDraw = False
10.2873 	EXP 	text_2: text = u'I'
10.2873 	EXP 	text_2: autoDraw = True
10.3059 	EXP 	text_2: autoDraw = False
10.3229 	EXP 	mask: autoDraw = True
10.3234 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 10), ('stimulus', u'U'), ('cond', u'distractor')])
10.3681 	EXP 	mask: autoDraw = False
10.3681 	EXP 	text_2: autoDraw = False
10.3681 	EXP 	mask: autoDraw = False
10.3681 	EXP 	text_2: text = u'U'
10.3681 	EXP 	text_2: autoDraw = True
10.3901 	EXP 	text_2: autoDraw = False
10.4065 	EXP 	mask: autoDraw = True
10.4071 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 11), ('stimulus', u'S'), ('cond', u'distractor')])
10.4532 	EXP 	mask: autoDraw = False
10.4532 	EXP 	text_2: autoDraw = False
10.4532 	EXP 	mask: autoDraw = False
10.4532 	EXP 	text_2: text = u'S'
10.4532 	EXP 	text_2: autoDraw = True
10.4733 	EXP 	text_2: autoDraw = False
10.4897 	EXP 	mask: autoDraw = True
10.4902 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 12), ('stimulus', u'E'), ('cond', u'distractor')])
