block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,participant,expName,run,frameRate,
1,short,t2,1,1,target,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,2,Q,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,3,X,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,4,P,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,5,7,target,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,6,K,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,7,V,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,8,N,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,9,D,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,10,J,distractor,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,11,T,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,12,U,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,13,D,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,14,K,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,15,U,distractor,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
1,short,t2,16,X,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
,,,,,,0,0,0,0,0,0,0,0,,,,,7,1.41522949358,7,0.124322059914,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,1,D,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,2,F,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,3,R,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,4,V,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,5,S,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,6,1,target,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,7,T,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,8,L,distractor,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,9,P,distractor,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,10,1,target,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,11,W,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,12,K,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,13,C,distractor,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,14,I,distractor,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
2,short,t2,15,X,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
,,,,,,0,0,0,0,1,0,1,0,,,,,7,0.367746780859,7,0.193742248463,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,1,7,target,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,2,G,distractor,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,3,Y,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,4,Y,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,5, ,mask,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,6,H,distractor,0,0,0,0,2,0,2,0,0,5,5,5,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,7,B,distractor,0,0,0,0,2,0,2,0,0,6,6,6,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,8,E,distractor,0,0,0,0,2,0,2,0,0,7,7,7,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,9,X,distractor,0,0,0,0,2,0,2,0,0,8,8,8,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,10,Z,distractor,0,0,0,0,2,0,2,0,0,9,9,9,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,11,D,distractor,0,0,0,0,2,0,2,0,0,10,10,10,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,12,T,distractor,0,0,0,0,2,0,2,0,0,11,11,11,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,13,Y,distractor,0,0,0,0,2,0,2,0,0,12,12,12,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,14,B,distractor,0,0,0,0,2,0,2,0,0,13,13,13,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,15,L,distractor,0,0,0,0,2,0,2,0,0,14,14,14,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,16,H,distractor,0,0,0,0,2,0,2,0,0,15,15,15,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
3,short,t1,17,R,distractor,0,0,0,0,2,0,2,0,0,16,16,16,,,,,2018_Oct_17_1527,1001,rsvp,r2,60.0450083194,
