22.6655 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 5), ('stimulus', u'T'), ('cond', u'distractor')])
22.7102 	EXP 	mask: autoDraw = False
22.7102 	EXP 	text_2: autoDraw = False
22.7102 	EXP 	mask: autoDraw = False
22.7102 	EXP 	text_2: text = u'T'
22.7102 	EXP 	text_2: autoDraw = True
22.7318 	EXP 	text_2: autoDraw = False
22.7488 	EXP 	mask: autoDraw = True
22.7495 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 6), ('stimulus', u'B'), ('cond', u'distractor')])
22.7969 	EXP 	mask: autoDraw = False
22.7969 	EXP 	text_2: autoDraw = False
22.7969 	EXP 	mask: autoDraw = False
22.7969 	EXP 	text_2: text = u'B'
22.7969 	EXP 	text_2: autoDraw = True
22.8152 	EXP 	text_2: autoDraw = False
22.8320 	EXP 	mask: autoDraw = True
22.8327 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 7), ('stimulus', u'D'), ('cond', u'distractor')])
22.8839 	EXP 	mask: autoDraw = False
22.8839 	EXP 	text_2: autoDraw = False
22.8839 	EXP 	mask: autoDraw = False
22.8839 	EXP 	text_2: text = u'D'
22.8839 	EXP 	text_2: autoDraw = True
22.8839 	EXP 	text_2: autoDraw = False
22.8996 	EXP 	mask: autoDraw = True
22.9162 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 8), ('stimulus', u'I'), ('cond', u'distractor')])
22.9629 	EXP 	mask: autoDraw = False
22.9629 	EXP 	text_2: autoDraw = False
22.9629 	EXP 	mask: autoDraw = False
22.9629 	EXP 	text_2: text = u'I'
22.9629 	EXP 	text_2: autoDraw = True
22.9824 	EXP 	text_2: autoDraw = False
22.9987 	EXP 	mask: autoDraw = True
22.9992 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 9), ('stimulus', u' '), ('cond', u'mask')])
23.0182 	EXP 	mask: autoDraw = False
23.0182 	EXP 	text_2: autoDraw = False
23.0182 	EXP 	mask: autoDraw = False
23.0182 	EXP 	text_2: text = u' '
23.0182 	EXP 	text_2: autoDraw = True
23.0664 	EXP 	text_2: autoDraw = False
23.0830 	EXP 	mask: autoDraw = True
23.0841 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 10), ('stimulus', u'T'), ('cond', u'distractor')])
23.1065 	EXP 	mask: autoDraw = False
23.1065 	EXP 	text_2: autoDraw = False
23.1065 	EXP 	mask: autoDraw = False
23.1065 	EXP 	text_2: text = u'T'
23.1065 	EXP 	text_2: autoDraw = True
23.1496 	EXP 	text_2: autoDraw = False
23.1662 	EXP 	mask: autoDraw = True
23.1672 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 11), ('stimulus', u'X'), ('cond', u'distractor')])
23.2163 	EXP 	mask: autoDraw = False
23.2163 	EXP 	text_2: autoDraw = False
23.2163 	EXP 	mask: autoDraw = False
23.2163 	EXP 	text_2: text = u'X'
23.2163 	EXP 	text_2: autoDraw = True
23.2163 	EXP 	text_2: autoDraw = False
23.2491 	EXP 	mask: autoDraw = True
23.2500 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 12), ('stimulus', u'P'), ('cond', u'distractor')])
23.2971 	EXP 	mask: autoDraw = False
23.2971 	EXP 	text_2: autoDraw = False
23.2971 	EXP 	mask: autoDraw = False
23.2971 	EXP 	text_2: text = u'P'
23.2971 	EXP 	text_2: autoDraw = True
23.3160 	EXP 	text_2: autoDraw = False
23.3332 	EXP 	mask: autoDraw = True
23.3338 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 13), ('stimulus', u'X'), ('cond', u'distractor')])
23.3531 	EXP 	mask: autoDraw = False
23.3531 	EXP 	text_2: autoDraw = False
23.3531 	EXP 	mask: autoDraw = False
23.3531 	EXP 	text_2: text = u'X'
23.3531 	EXP 	text_2: autoDraw = True
23.3989 	EXP 	text_2: autoDraw = False
23.4154 	EXP 	mask: autoDraw = True
