68.7227 	DATA 	Keypress: space
69.2537 	DATA 	Keypress: space
69.8200 	DATA 	Keypress: space
70.3549 	DATA 	Keypress: space
70.8700 	DATA 	Keypress: space
71.4204 	DATA 	Keypress: space
71.9402 	DATA 	Keypress: space
72.4729 	DATA 	Keypress: space
73.0206 	DATA 	Keypress: space
73.5877 	DATA 	Keypress: space
74.1373 	DATA 	Keypress: space
74.6855 	DATA 	Keypress: space
75.2527 	DATA 	Keypress: space
75.8381 	DATA 	Keypress: space
76.3544 	DATA 	Keypress: space
76.8890 	DATA 	Keypress: space
77.4544 	DATA 	Keypress: space
78.0041 	DATA 	Keypress: space
78.5729 	DATA 	Keypress: space
79.1045 	DATA 	Keypress: space
79.6646 	DATA 	Keypress: space
80.1549 	DATA 	Keypress: space
80.6547 	DATA 	Keypress: space
81.2238 	DATA 	Keypress: space
81.7218 	DATA 	Keypress: space
82.2715 	DATA 	Keypress: space
82.8549 	DATA 	Keypress: space
83.4053 	DATA 	Keypress: space
84.0216 	DATA 	Keypress: space
84.5539 	DATA 	Keypress: space
85.0754 	DATA 	Keypress: space
85.6553 	DATA 	Keypress: space
86.2205 	DATA 	Keypress: space
86.7596 	DATA 	Keypress: space
87.2883 	DATA 	Keypress: space
87.8556 	DATA 	Keypress: space
88.4259 	DATA 	Keypress: space
88.9718 	DATA 	Keypress: space
89.5371 	DATA 	Keypress: space
90.1229 	DATA 	Keypress: space
90.7253 	DATA 	Keypress: space
91.2555 	DATA 	Keypress: space
91.7725 	DATA 	Keypress: space
92.2898 	DATA 	Keypress: space
92.8899 	DATA 	Keypress: space
93.3961 	DATA 	Keypress: space
93.9094 	DATA 	Keypress: space
94.4399 	DATA 	Keypress: space
94.9398 	DATA 	Keypress: space
95.4732 	DATA 	Keypress: space
96.0729 	DATA 	Keypress: space
96.6586 	DATA 	Keypress: space
97.2068 	DATA 	Keypress: space
97.7603 	DATA 	Keypress: space
98.3401 	DATA 	Keypress: space
98.9094 	DATA 	Keypress: space
99.4718 	DATA 	Keypress: space
100.0564 	DATA 	Keypress: space
100.6068 	DATA 	Keypress: space
101.2068 	DATA 	Keypress: space
101.7564 	DATA 	Keypress: space
102.2735 	DATA 	Keypress: space
102.8239 	DATA 	Keypress: space
103.3899 	DATA 	Keypress: space
103.9592 	DATA 	Keypress: space
104.5552 	DATA 	Keypress: space
105.0730 	EXP 	window1: mouseVisible = True
