train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
1,0,1,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
2,0,2,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
3,0,3,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
4,0,4,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
5,0,5,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
6,0,6,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
7,0,7,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
8,0,8,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
9,0,9,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
10,0,10,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
11,0,11,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
12,0,12,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
13,0,13,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
14,0,14,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
15,0,15,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
16,0,16,0,,,2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.16785050390171818, 0.8181567823921796, 1.38510217203293, 1.9200121987669263, 2.4697925141372252, 3.0373497819527984, 3.5859800378384534, 4.170626258797711, 4.736206801258959, 5.3199245382566005, 5.919905532209668, 6.500802908325568, 7.0848018571559805, 7.703667196445167, 8.282376453455072, 8.853172990871826, 9.419841532275314, 9.986473710101563, 10.586126946785953, 11.168042988574598, 11.819967689720215, 12.384689566359157, 12.986639528098749, 13.587018582300516, 14.153257548372494, 14.803543948073639, 15.40334748767782, 15.987182557873894, 16.53680723704747, 17.118229218700435, 17.736943285388406, 18.303720917610917, 18.89285246754298, 19.470985725114588, 20.020683616312454, 20.621203761256766, 21.17292686260771, 21.754438541160198, 22.302837039664155, 22.902272579609416, 23.488432980928337, 24.135801565280417, 24.704101620271103, 25.255538176454138, 25.770804585888982, 26.354780262045097, 26.956012648704927, 27.52199270593701, 28.13700301866629, 28.770714889018564, 29.386713806830812, 30.022923129290575, 30.553987341583706, 31.154871607403038, 31.720801725285128, 32.28569329873426, 32.91832444284228, 33.51924798134132, 34.088053247949574, 34.654056093044346, 35.24220485604019, 35.8872738062928, 36.472002936236095, 37.07275289914105, 37.62111794317025, 38.2376506786386, 38.80678612674819, 39.439396422414575, 40.02136385807535, 40.63796738136443, 41.23998085819767, 41.838567914121086, 42.40238651889376, 43.00511078292038, 43.61937830847455, 44.22198233020026, 44.80581546103349, 45.35501444363035, 45.93897848340566, 46.58901276218239, 47.1554771825613, 47.70628828482586, 48.24032703967532, 48.839657367614564, 49.37227115416317, 49.95402089308482, 50.56988550798269, 51.172259226907045, 51.737924132932676, 52.33681421884103, 52.95644610284944, 53.523977188859135, 54.12597708997782, 54.70631883022725, 55.27273428099579, 55.856982926576165, 56.44118163280655, 57.023287735006306, 57.606810563098406, 58.19037266387022, 58.789213295298396, 59.355471170449164, 59.92267449921928, 60.504530904698186, 61.070622961822664, 61.67309462002595, 62.207074223435484, 62.806523339124396, 63.4236534073716, 64.07401398883667, 64.70781410150812, 65.31859799407539, 65.8565935936058, 66.45698379928945, 67.02605039897026, 67.55743897461798, 68.22388293442782, 68.84044185170205, 69.42337413490168, 70.10737395647448, 70.75779514395981, 71.30755897448398, 71.84109785105102, 72.45805822248803, 73.02382640112774, 73.59060160911758, 74.19093751182663, 74.74086958460975, 75.35725928994361, 75.95768004102865, 76.50760823505698, 77.0916420929425, 77.7096114330925, 78.20906452453346, 78.80763461077004, 79.40854505839525, 79.94142066285713, 80.54174444437376, 81.17517364831292, 81.82559774487163, 82.43371982185636, 83.02562906604726, 83.57863992374041, 84.15909560330329, 84.7428046130517, 85.30919291230384, 85.86141007379047, 86.44224102571025, 87.00897890038323, 87.62339915306075, 88.1762054048886, 88.7770421555906, 89.32522441190667, 89.95919228199637, 90.50935223334818, 91.11397322281846, 91.71021943251253, 92.32431095823995, 93.01016968709882, 93.69328272168059, 94.14616519160336, 94.62996884365566, 95.19347181238118, 95.7601224144164, 96.3106993350957, 96.8769310284406, 97.4419103593682, 97.92705655557802, 98.493550551706, 99.0321454233781, 99.59149372947286, 100.1449181624921, 100.69565120420884, 101.22643371982849, 101.74306158249965, 102.30782370149973, 102.82643265314982, 103.41025366279064, 103.9427030858642, 104.47627250786172, 105.02572167202015, 105.62504375752178, 106.15824517988949, 106.67507522416417, 107.24420582380844, 107.77697961020749, 108.31183436428546, 108.86050486253225, 109.34516669559525, 109.8943264055124, 110.42868273583008, 111.050046981778, 111.61210413373192, 112.12739672494354, 112.69427084192284, 113.26119829216623, 113.74372291518375, 114.2279304456315, 114.7946649263904, 115.42824055443634, 115.87972908632946, 116.46204803680303, 116.99606739776209, 117.51141089803423, 118.04636940959608, 118.61301855708007, 119.14590676760417, 119.6137196473137]",2018_Sep_25_1451,60.0918347971,finger_tap,001,2,
