3.0557 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32 or dlportio
5.7758 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
6.9413 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F1894B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
6.9414 	EXP 	window1: recordFrameIntervals = False
7.1089 	EXP 	window1: recordFrameIntervals = True
7.2915 	EXP 	window1: recordFrameIntervals = False
7.6428 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
7.6436 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
7.6724 	EXP 	Sound  set volume 1.000
7.6880 	EXP 	instructions_text: autoDraw = True
8.3129 	DATA 	Keypress: space
8.3282 	EXP 	instructions_text: autoDraw = False
8.3282 	EXP 	blank_iti: autoDraw = True
9.3251 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
9.3260 	EXP 	New trial (rep=0, index=0): None
9.3431 	EXP 	blank_iti: autoDraw = False
9.7623 	DATA 	Keypress: space
9.9278 	EXP 	New trial (rep=1, index=0): None
10.2299 	DATA 	Keypress: space
10.5280 	EXP 	New trial (rep=2, index=0): None
10.7142 	DATA 	Keypress: space
11.1297 	EXP 	New trial (rep=3, index=0): None
11.2653 	DATA 	Keypress: space
11.7332 	EXP 	New trial (rep=4, index=0): None
11.8264 	DATA 	Keypress: space
12.3240 	EXP 	New trial (rep=5, index=0): None
12.4776 	DATA 	Keypress: space
12.9288 	EXP 	New trial (rep=6, index=0): None
12.9749 	DATA 	Keypress: space
13.5291 	EXP 	New trial (rep=7, index=0): None
13.6455 	DATA 	Keypress: space
14.1304 	EXP 	New trial (rep=8, index=0): None
14.2111 	DATA 	Keypress: space
14.7280 	EXP 	New trial (rep=9, index=0): None
14.8123 	DATA 	Keypress: space
15.3289 	EXP 	New trial (rep=10, index=0): None
15.3952 	DATA 	Keypress: space
15.9312 	EXP 	New trial (rep=11, index=0): None
15.9949 	DATA 	Keypress: space
16.5264 	EXP 	New trial (rep=12, index=0): None
16.6107 	DATA 	Keypress: space
17.1314 	EXP 	New trial (rep=13, index=0): None
17.1748 	DATA 	Keypress: space
17.7287 	EXP 	New trial (rep=14, index=0): None
17.7832 	DATA 	Keypress: space
18.3299 	EXP 	New trial (rep=15, index=0): None
18.3975 	DATA 	Keypress: space
18.9308 	EXP 	New trial (rep=16, index=0): None
19.0113 	DATA 	Keypress: space
19.6297 	DATA 	Keypress: space
20.3111 	DATA 	Keypress: space
20.9479 	DATA 	Keypress: space
21.5769 	DATA 	Keypress: space
22.1457 	DATA 	Keypress: space
22.7115 	DATA 	Keypress: space
23.3463 	DATA 	Keypress: space
23.8973 	DATA 	Keypress: space
24.4778 	DATA 	Keypress: space
25.0647 	DATA 	Keypress: space
25.6284 	DATA 	Keypress: space
26.1797 	DATA 	Keypress: space
26.7774 	DATA 	Keypress: space
27.3469 	DATA 	Keypress: space
27.9156 	DATA 	Keypress: space
28.4143 	DATA 	Keypress: space
28.9784 	DATA 	Keypress: space
29.5806 	DATA 	Keypress: space
30.1311 	DATA 	Keypress: space
30.6617 	DATA 	Keypress: space
31.1965 	DATA 	Keypress: space
31.7965 	DATA 	Keypress: space
32.3125 	DATA 	Keypress: space
32.8766 	DATA 	Keypress: space
33.4631 	DATA 	Keypress: space
34.0334 	DATA 	Keypress: space
34.5485 	DATA 	Keypress: space
35.0950 	DATA 	Keypress: space
35.6307 	DATA 	Keypress: space
36.1811 	DATA 	Keypress: space
36.7302 	DATA 	Keypress: space
