train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_press.keys,train_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,,2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
1,0,1,0,['space'],[0.2821989990770817],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
2,0,2,0,['space'],[0.1476464022853179],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
3,0,3,0,['space'],[0.08354852504271548],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
4,0,4,0,['space'],[0.08515288712806068],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
5,0,5,0,['space'],[0.13353732504765503],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
6,0,6,0,['space'],[0.12016618650523014],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
7,0,7,0,['space'],[0.08109083045565058],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
8,0,8,0,['space'],[0.03736626679892652],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
9,0,9,0,['space'],[0.018456224526744336],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
10,0,10,0,['space'],[0.0046050864475546405],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
11,0,11,0,['space'],[0.0015694530302425846],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
12,0,12,0,['space'],[0.07224623297224753],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
13,0,13,0,['space'],[0.06295557532575913],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
14,0,14,0,['space'],[0.042495473942835815],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
15,0,15,0,['space'],[0.05646733919274993],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
16,0,16,0,['space'],[0.05095607180555817],2018_Sep_24_1327,59.9789455941,finger_tap,001,123,
