train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
1,0,1,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
2,0,2,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
3,0,3,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
4,0,4,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
5,0,5,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
6,0,6,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
7,0,7,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
8,0,8,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
9,0,9,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
10,0,10,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
11,0,11,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
12,0,12,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
13,0,13,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
14,0,14,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
15,0,15,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
16,0,16,0,,,2018_Sep_24_1332,60.133883409,finger_tap,001,2,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.13674120073847007, 0.8341199184360448, 1.3854818080289988, 2.003757087266422, 2.5698118111031363, 3.199648776106187, 3.785211359805544, 4.382931022613775, 4.966472274943953, 5.56652745064639, 6.204948164900998, 6.8048433407675475, 7.502280240223627, 8.067279449911439, 8.652893912352738, 9.220419180201134, 9.786955842952011, 10.439570482849376, 11.037540327233728, 11.637403018277837, 12.268521436591982, 12.887678169528954, 13.534758754176437, 14.090674821170978, 14.737269588105846, 15.371102185599739, 15.934234730448225, 16.520565313388943, 17.087101006458397, 17.654461910831742, 18.251956604173756, 18.770728949602926, 19.35444911084778, 19.917726625237265, 20.454977498215158, 21.035316329391208, 21.601084023190197, 22.218601969841984, 22.787408691001474, 23.402678397411364, 23.97009505931055]",2018_Sep_24_1332,60.133883409,finger_tap,001,2,
