train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,train_press.keys,train_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,,2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
1,0,1,0,['space'],[0.20370210550026968],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
2,0,2,0,['space'],[0.15043379351845942],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
3,0,3,0,['space'],[0.12025248946156353],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
4,0,4,0,['space'],[0.10394705072394572],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
5,0,5,0,['space'],[0.11689346240018494],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
6,0,6,0,['space'],[0.10271456706686877],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
7,0,7,0,['space'],[0.05264673681813292],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
8,0,8,0,['space'],[0.06655314758245368],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
9,0,9,0,['space'],[0.03098130329453852],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
10,0,10,0,['space'],[0.03156215121271089],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
11,0,11,0,['space'],[0.0722966571629513],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
12,0,12,0,['space'],[0.08544961411098484],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
13,0,13,0,['space'],[0.08355191897135228],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
14,0,14,0,['space'],[0.0873361577396281],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
15,0,15,0,['space'],[0.0718239303532755],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
16,0,16,0,['space'],[0.083857373232604],2018_Sep_24_1225,59.4720330343,finger_tap,001,1,
