42.8861 	DATA 	Keypress: space
43.4682 	DATA 	Keypress: space
44.0685 	DATA 	Keypress: space
44.6185 	DATA 	Keypress: space
45.1380 	DATA 	Keypress: space
45.7331 	DATA 	Keypress: space
46.2866 	DATA 	Keypress: space
46.8019 	DATA 	Keypress: space
47.4188 	DATA 	Keypress: space
47.9543 	DATA 	Keypress: space
48.6200 	DATA 	Keypress: space
49.1523 	DATA 	Keypress: space
49.6527 	DATA 	Keypress: space
50.2689 	DATA 	Keypress: space
50.7669 	DATA 	Keypress: space
51.2514 	DATA 	Keypress: space
51.7700 	DATA 	Keypress: space
52.3182 	DATA 	Keypress: space
52.8038 	DATA 	Keypress: space
53.3862 	DATA 	Keypress: space
53.8883 	DATA 	Keypress: space
54.4379 	DATA 	Keypress: space
54.8856 	DATA 	Keypress: space
55.3700 	DATA 	Keypress: space
55.9681 	DATA 	Keypress: space
56.5373 	DATA 	Keypress: space
57.0532 	DATA 	Keypress: space
57.5870 	DATA 	Keypress: space
58.5385 	DATA 	Keypress: space
59.1343 	DATA 	Keypress: space
59.6368 	DATA 	Keypress: space
60.1367 	DATA 	Keypress: space
60.6844 	DATA 	Keypress: space
61.2196 	DATA 	Keypress: space
61.7533 	DATA 	Keypress: space
62.3250 	DATA 	Keypress: space
62.8698 	DATA 	Keypress: space
63.4041 	DATA 	Keypress: space
63.9183 	DATA 	Keypress: space
64.4533 	DATA 	Keypress: space
64.9684 	DATA 	Keypress: space
65.4849 	DATA 	Keypress: space
66.0026 	DATA 	Keypress: space
66.5373 	DATA 	Keypress: space
67.0036 	DATA 	Keypress: space
67.5415 	DATA 	Keypress: space
68.1706 	DATA 	Keypress: space
68.6525 	DATA 	Keypress: space
69.1535 	DATA 	Keypress: space
69.6868 	DATA 	Keypress: space
70.1883 	DATA 	Keypress: space
70.7185 	DATA 	Keypress: space
71.3224 	DATA 	Keypress: space
71.9224 	DATA 	Keypress: space
72.4373 	DATA 	Keypress: space
73.0746 	DATA 	Keypress: space
73.6048 	DATA 	Keypress: space
74.1542 	DATA 	Keypress: space
74.6700 	DATA 	Keypress: space
