71.4340 	DATA 	Keypress: space
72.0837 	DATA 	Keypress: space
72.6506 	DATA 	Keypress: space
73.2013 	DATA 	Keypress: space
73.7352 	DATA 	Keypress: space
74.3346 	DATA 	Keypress: space
74.8674 	DATA 	Keypress: space
75.4491 	DATA 	Keypress: space
76.0651 	DATA 	Keypress: space
76.6674 	DATA 	Keypress: space
77.2330 	DATA 	Keypress: space
77.8319 	DATA 	Keypress: space
78.4515 	DATA 	Keypress: space
79.0190 	DATA 	Keypress: space
79.6210 	DATA 	Keypress: space
80.2012 	DATA 	Keypress: space
80.7678 	DATA 	Keypress: space
81.3520 	DATA 	Keypress: space
81.9362 	DATA 	Keypress: space
82.5183 	DATA 	Keypress: space
83.1018 	DATA 	Keypress: space
83.6854 	DATA 	Keypress: space
84.2844 	DATA 	Keypress: space
84.8358 	DATA 	Keypress: space
85.4178 	DATA 	Keypress: space
85.9997 	DATA 	Keypress: space
86.5658 	DATA 	Keypress: space
87.1681 	DATA 	Keypress: space
87.7019 	DATA 	Keypress: space
88.3015 	DATA 	Keypress: space
88.9186 	DATA 	Keypress: space
89.5690 	DATA 	Keypress: space
90.2027 	DATA 	Keypress: space
90.7885 	DATA 	Keypress: space
91.3516 	DATA 	Keypress: space
91.9519 	DATA 	Keypress: space
92.5209 	DATA 	Keypress: space
93.0517 	DATA 	Keypress: space
93.7187 	DATA 	Keypress: space
94.3355 	DATA 	Keypress: space
94.9184 	DATA 	Keypress: space
95.6024 	DATA 	Keypress: space
96.2528 	DATA 	Keypress: space
96.8026 	DATA 	Keypress: space
97.3362 	DATA 	Keypress: space
97.9531 	DATA 	Keypress: space
98.5188 	DATA 	Keypress: space
99.0856 	DATA 	Keypress: space
99.6856 	DATA 	Keypress: space
100.2359 	DATA 	Keypress: space
100.8523 	DATA 	Keypress: space
101.4527 	DATA 	Keypress: space
102.0024 	DATA 	Keypress: space
102.5864 	DATA 	Keypress: space
103.2046 	DATA 	Keypress: space
103.7038 	DATA 	Keypress: space
104.3026 	DATA 	Keypress: space
104.9035 	DATA 	Keypress: space
105.4364 	DATA 	Keypress: space
106.0368 	DATA 	Keypress: space
106.6702 	DATA 	Keypress: space
107.3206 	DATA 	Keypress: space
107.9288 	DATA 	Keypress: space
108.5207 	DATA 	Keypress: space
109.0737 	DATA 	Keypress: space
109.6541 	DATA 	Keypress: space
110.2380 	DATA 	Keypress: space
110.8043 	DATA 	Keypress: space
111.3563 	DATA 	Keypress: space
111.9373 	DATA 	Keypress: space
112.5039 	DATA 	Keypress: space
113.1186 	DATA 	Keypress: space
113.6712 	DATA 	Keypress: space
114.2720 	DATA 	Keypress: space
114.8202 	DATA 	Keypress: space
115.4539 	DATA 	Keypress: space
116.0043 	DATA 	Keypress: space
116.6087 	DATA 	Keypress: space
117.2052 	DATA 	Keypress: space
117.8195 	DATA 	Keypress: space
118.5052 	DATA 	Keypress: space
119.1883 	DATA 	Keypress: space
119.6411 	DATA 	Keypress: space
120.1250 	DATA 	Keypress: space
120.6885 	DATA 	Keypress: space
121.2552 	DATA 	Keypress: space
121.8057 	DATA 	Keypress: space
122.3720 	DATA 	Keypress: space
122.9371 	DATA 	Keypress: space
123.4220 	DATA 	Keypress: space
123.9886 	DATA 	Keypress: space
124.5272 	DATA 	Keypress: space
125.0865 	DATA 	Keypress: space
125.6394 	DATA 	Keypress: space
126.1905 	DATA 	Keypress: space
126.7214 	DATA 	Keypress: space
127.2381 	DATA 	Keypress: space
127.8030 	DATA 	Keypress: space
128.3213 	DATA 	Keypress: space
128.9053 	DATA 	Keypress: space
129.4378 	DATA 	Keypress: space
129.9714 	DATA 	Keypress: space
130.5209 	DATA 	Keypress: space
131.1203 	DATA 	Keypress: space
