train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
1,0,1,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
2,0,2,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
3,0,3,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
4,0,4,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
5,0,5,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
6,0,6,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
7,0,7,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
8,0,8,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
9,0,9,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
10,0,10,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
11,0,11,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
12,0,12,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
13,0,13,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
14,0,14,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
15,0,15,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
16,0,16,0,,,2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.06816187330696266, 0.7856336624245159, 1.3209596887754742, 1.902764215512434, 2.4516116832965054, 3.053620796490577, 3.6366999886668054, 4.203624529822264, 4.869471156882355, 5.4207874707644805, 5.98781140576466, 6.651425792559166, 7.269831011071801, 7.805814006482251, 8.336331795071601, 8.88489805100835, 9.4995437580219, 10.104157474765088, 10.668812927222461, 11.249892606167123, 11.816485026443843, 12.467346940757125, 13.071202840044862, 13.621806427341653, 14.219229848022223, 14.71948487807822, 15.222998086799635, 15.820173750136746, 16.322763323390973, 16.901878883028985, 17.46995154429169, 18.001146665556007, 18.555078734469134, 19.22362354073266, 19.790257173095597, 20.354396262409864, 20.933519094774965, 21.441973389606574, 22.023346886460786, 22.589794337181957, 23.203240530201583, 23.77286955359159]",2018_Sep_24_1336,60.0252032864,finger_tap,001,3,
