2.9853 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32 or dlportio
5.7804 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
7.9938 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F3173D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.9939 	EXP 	window1: recordFrameIntervals = False
8.1606 	EXP 	window1: recordFrameIntervals = True
8.3444 	EXP 	window1: recordFrameIntervals = False
8.6956 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.7242 	EXP 	Sound  set volume 1.000
8.7397 	EXP 	instructions_text: autoDraw = True
14.1622 	DATA 	Keypress: space
14.1643 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
14.1654 	EXP 	New trial (rep=0, index=0): None
14.1828 	EXP 	instructions_text: autoDraw = False
14.7639 	EXP 	New trial (rep=1, index=0): None
15.0619 	DATA 	Keypress: space
15.3653 	EXP 	New trial (rep=2, index=0): None
15.5290 	DATA 	Keypress: space
15.9641 	EXP 	New trial (rep=3, index=0): None
16.0635 	DATA 	Keypress: space
16.5619 	EXP 	New trial (rep=4, index=0): None
16.6610 	DATA 	Keypress: space
17.1662 	EXP 	New trial (rep=5, index=0): None
17.3129 	DATA 	Keypress: space
17.7597 	EXP 	New trial (rep=6, index=0): None
17.8950 	DATA 	Keypress: space
18.3640 	EXP 	New trial (rep=7, index=0): None
18.4346 	DATA 	Keypress: space
18.9652 	EXP 	New trial (rep=8, index=0): None
19.0155 	DATA 	Keypress: space
19.5652 	EXP 	New trial (rep=9, index=0): None
19.5954 	DATA 	Keypress: space
20.1654 	EXP 	New trial (rep=10, index=0): None
20.1695 	DATA 	Keypress: space
20.7645 	EXP 	New trial (rep=11, index=0): None
20.7948 	DATA 	Keypress: space
21.3598 	EXP 	New trial (rep=12, index=0): None
21.4484 	DATA 	Keypress: space
21.9667 	EXP 	New trial (rep=13, index=0): None
22.0451 	DATA 	Keypress: space
22.5654 	EXP 	New trial (rep=14, index=0): None
22.6328 	DATA 	Keypress: space
23.1653 	EXP 	New trial (rep=15, index=0): None
23.2459 	DATA 	Keypress: space
23.7645 	EXP 	New trial (rep=16, index=0): None
23.8148 	DATA 	Keypress: space
24.3982 	DATA 	Keypress: space
25.0972 	DATA 	Keypress: space
25.7299 	DATA 	Keypress: space
26.3932 	DATA 	Keypress: space
26.9956 	DATA 	Keypress: space
27.5613 	DATA 	Keypress: space
28.1638 	DATA 	Keypress: space
28.7476 	DATA 	Keypress: space
29.2794 	DATA 	Keypress: space
29.8118 	DATA 	Keypress: space
30.3988 	DATA 	Keypress: space
31.0465 	DATA 	Keypress: space
31.5649 	DATA 	Keypress: space
32.1625 	DATA 	Keypress: space
32.6975 	DATA 	Keypress: space
33.3292 	DATA 	Keypress: space
33.9133 	DATA 	Keypress: space
34.4336 	DATA 	Keypress: space
35.0460 	DATA 	Keypress: space
35.5802 	DATA 	Keypress: space
36.1275 	DATA 	Keypress: space
36.7326 	DATA 	Keypress: space
37.2827 	DATA 	Keypress: space
37.8793 	DATA 	Keypress: space
38.4477 	DATA 	Keypress: space
39.0464 	DATA 	Keypress: space
39.5966 	DATA 	Keypress: space
40.1975 	DATA 	Keypress: space
40.7468 	DATA 	Keypress: space
43.8998 	DATA 	Keypress: space
44.8141 	DATA 	Keypress: space
47.1152 	DATA 	Keypress: space
47.9654 	DATA 	Keypress: space
48.6989 	DATA 	Keypress: space
49.3482 	DATA 	Keypress: space
49.9000 	DATA 	Keypress: space
50.4663 	DATA 	Keypress: space
50.9999 	DATA 	Keypress: space
51.5816 	DATA 	Keypress: space
52.1972 	DATA 	Keypress: space
52.7829 	DATA 	Keypress: space
55.8313 	DATA 	Keypress: space
56.4621 	DATA 	Keypress: escape
56.5058 	EXP 	window1: mouseVisible = True
