2.8189 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32 or dlportio
7.2033 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [3240, 2160]. Using actual size
8.3450 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=u'white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F35A4B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([3240, 2160]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
8.3451 	EXP 	window1: recordFrameIntervals = False
8.5085 	EXP 	window1: recordFrameIntervals = True
8.6931 	EXP 	window1: recordFrameIntervals = False
9.1008 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
9.1014 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
9.1307 	EXP 	Sound  set volume 1.000
9.1460 	EXP 	instructions_text: autoDraw = True
10.1512 	DATA 	Keypress: space
10.1917 	EXP 	instructions_text: autoDraw = False
10.1917 	EXP 	blank_iti: autoDraw = True
11.1591 	EXP 	Created sequence: random, trialTypes=1, nReps=17, seed=None
11.1594 	EXP 	New trial (rep=0, index=0): None
11.1748 	EXP 	blank_iti: autoDraw = False
11.1748 	EXP 	blank_iti: autoDraw = False
11.6765 	DATA 	Keypress: space
11.7604 	EXP 	New trial (rep=1, index=0): None
12.1940 	DATA 	Keypress: space
12.3615 	EXP 	New trial (rep=2, index=0): None
12.6598 	DATA 	Keypress: space
12.9592 	EXP 	New trial (rep=3, index=0): None
13.1580 	DATA 	Keypress: space
13.5619 	EXP 	New trial (rep=4, index=0): None
13.6784 	DATA 	Keypress: space
14.1602 	EXP 	New trial (rep=5, index=0): None
14.2432 	DATA 	Keypress: space
14.7601 	EXP 	New trial (rep=6, index=0): None
14.7953 	DATA 	Keypress: space
15.3624 	EXP 	New trial (rep=7, index=0): None
15.3897 	DATA 	Keypress: space
15.9606 	EXP 	New trial (rep=8, index=0): None
16.0433 	DATA 	Keypress: space
16.5623 	EXP 	New trial (rep=9, index=0): None
16.6419 	DATA 	Keypress: space
17.1607 	EXP 	New trial (rep=10, index=0): None
17.2601 	DATA 	Keypress: space
17.7611 	EXP 	New trial (rep=11, index=0): None
17.8798 	DATA 	Keypress: space
18.3613 	EXP 	New trial (rep=12, index=0): None
18.4604 	DATA 	Keypress: space
18.9618 	EXP 	New trial (rep=13, index=0): None
19.1290 	DATA 	Keypress: space
19.5621 	EXP 	New trial (rep=14, index=0): None
19.6460 	DATA 	Keypress: space
20.1630 	EXP 	New trial (rep=15, index=0): None
20.2058 	DATA 	Keypress: space
20.7623 	EXP 	New trial (rep=16, index=0): None
20.7817 	DATA 	Keypress: space
21.4301 	DATA 	Keypress: space
22.1611 	DATA 	Keypress: space
22.6964 	DATA 	Keypress: space
23.2782 	DATA 	Keypress: space
23.8273 	DATA 	Keypress: space
24.4291 	DATA 	Keypress: space
25.0122 	DATA 	Keypress: space
25.5791 	DATA 	Keypress: space
26.2449 	DATA 	Keypress: space
26.7962 	DATA 	Keypress: space
27.3633 	DATA 	Keypress: space
28.0270 	DATA 	Keypress: space
28.6453 	DATA 	Keypress: space
29.1815 	DATA 	Keypress: space
29.7118 	DATA 	Keypress: space
30.2604 	DATA 	Keypress: space
30.8752 	DATA 	Keypress: space
31.4795 	DATA 	Keypress: space
32.0443 	DATA 	Keypress: space
32.6255 	DATA 	Keypress: space
33.1922 	DATA 	Keypress: space
33.8430 	DATA 	Keypress: space
34.4466 	DATA 	Keypress: space
34.9971 	DATA 	Keypress: space
35.5947 	DATA 	Keypress: space
36.0949 	DATA 	Keypress: space
36.5984 	DATA 	Keypress: space
37.1956 	DATA 	Keypress: space
37.6982 	DATA 	Keypress: space
38.2775 	DATA 	Keypress: space
38.8454 	DATA 	Keypress: space
39.3768 	DATA 	Keypress: space
39.9306 	DATA 	Keypress: space
40.5860 	DATA 	Keypress: space
41.1659 	DATA 	Keypress: space
41.7299 	DATA 	Keypress: space
42.3089 	DATA 	Keypress: space
42.8174 	DATA 	Keypress: space
43.3990 	DATA 	Keypress: space
43.9652 	DATA 	Keypress: space
44.5788 	DATA 	Keypress: space
45.1483 	DATA 	Keypress: space
45.5551 	EXP 	window1: mouseVisible = True
