train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
1,0,1,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
2,0,2,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
3,0,3,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
4,0,4,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
5,0,5,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
6,0,6,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
7,0,7,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
8,0,8,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
9,0,9,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
10,0,10,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
11,0,11,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
12,0,12,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
13,0,13,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
14,0,14,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
15,0,15,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
16,0,16,0,,,2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.6012432466959581, 1.1167911028605886, 1.6855926997377537, 2.2705164549988694, 2.8358475115383044, 3.3521027605747804, 3.994384493038524, 4.454853156581521, 5.003423510177527, 5.551735439919867, 6.068334446055815, 6.587009570444934, 7.168906420993153, 7.701628070382867, 8.252848117088433, 8.804935071617365, 9.3685221306514, 9.972970706003252, 10.471387435565703, 11.068895414937288, 11.569492020178586, 12.102779486856889, 12.63549628778128, 13.268882033182308, 13.802087560645305, 14.344621559372172, 14.867625889542978, 15.436230638239067, 15.936271607875824, 16.489703530154657, 17.052308772399556, 17.652825717115775, 18.18587172968546, 18.737515533342957, 19.288637155957986, 19.80060586577747, 20.337327509361785, 20.905000865459442, 21.43549124535639, 22.102624335617293, 22.634638107207138, 23.186934031138662, 23.738625349884387, 24.269658274482936, 24.835806784278248, 25.37081206671428, 25.885960408311803, 26.436352335033007, 26.95616200315999, 27.488866682862863, 28.036763582902495, 28.603622879600152, 29.153206565068103, 29.70122710126452, 30.268403973255772, 30.85506784718018, 31.37034079467412, 31.905015895725228, 32.47016464947956, 33.01990009227302, 33.58881950721843, 34.12041000666795, 34.68034034373704, 35.17083708487917, 35.670434418774676, 36.24012619617861, 36.73761056351941, 37.28741049102973, 37.87073376378976, 38.421172235917766, 39.03750830912031, 39.569645232055336, 40.10459427209571, 40.67116362985689, 41.236253232113086, 41.78890067071188, 42.304162951535545, 42.871485277835745, 43.44183547858847, 43.98766983614769, 44.552836044400465, 45.13883519201772, 45.74105055851396, 46.272061180032324, 46.78837315633427, 47.305700403871015, 47.905700500821695, 48.4252822904964, 48.92553659318946, 49.455856306653004, 49.9555152162211, 50.48920219752472, 51.08893223427003, 51.67446932202438, 52.22300234233262, 52.77626844664337, 53.35603390639881, 53.925325684365816, 54.48751298786374, 55.07227868278278, 55.622758366924245, 56.22276040329598, 56.77230239182245, 57.2894012760371, 57.839850414777175, 58.40578898554668, 58.988662319548894, 59.57096207863651]",2018_Oct_10_1706,59.7672774259,finger_tap,001,60s,
