train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,frameRate,expName,session,participant,
0,0,0,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
1,0,1,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
2,0,2,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
3,0,3,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
4,0,4,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
5,0,5,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
6,0,6,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
7,0,7,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
8,0,8,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
9,0,9,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
10,0,10,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
11,0,11,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
12,0,12,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
13,0,13,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
14,0,14,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
15,0,15,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
16,0,16,0,,,2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[1.30088061618153, 4.417795130284503, 9.482838680269197, 11.782241887645796, 14.9488306324929, 19.065587399993092, 22.750339230173267, 27.53177585930098, 32.28321931511164, 36.28218209417537, 41.581182672292925, 46.398258298053406, 52.71401696570683, 57.73091958113946, 63.89703809109051, 70.19716062257066, 75.94622375851031, 80.77929818723351, 85.61237411829643, 91.59541261079721, 97.21190766931977, 101.6446060903836, 106.91053488396574, 112.67770221305545, 118.7270035612164, 123.91021758806892, 129.393137996085, 134.59227270376869, 141.40909443283454, 147.22514455590863, 153.24165866419207, 159.22431045235135, 163.85864949738607, 168.9077035591472, 174.72382008598652, 180.17346919770353, 185.67317984544206, 190.3564004827058, 196.1554623566335, 200.4717576628318, 205.17199509392958, 210.5215127200354, 215.8212686786428, 221.93599397141952, 228.25403530639596, 233.58684472099412, 238.83664641098585]",2018_Oct_12_1141,60.7250977715,finger_tap,001,pilot_shivani,
