1.3634 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
36.4179 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [1024, 768]. Using actual size
37.1213 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='black', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x20176BD0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
37.1214 	EXP 	window1: mouseVisible = False
37.1214 	EXP 	window1: recordFrameIntervals = False
37.2873 	EXP 	window1: recordFrameIntervals = True
37.4697 	EXP 	window1: recordFrameIntervals = False
37.6536 	EXP 	Created instructions_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructions_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
37.6542 	EXP 	Created blank_iti = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='blank_iti', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
37.6599 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
38.5887 	EXP 	Set  sound=C
38.5915 	EXP 	Set  sound=clock-tick1.wav
38.5915 	EXP 	Sound  set volume 1.000
38.5921 	EXP 	window1: blendMode = 'avg'
38.5988 	EXP 	instructions_text: autoDraw = True
38.5991 	EXP 	window1: blendMode = 'avg'
38.6190 	EXP 	window1: blendMode = 'avg'
38.6366 	EXP 	window1: blendMode = 'avg'
38.6533 	EXP 	window1: blendMode = 'avg'
38.6701 	EXP 	window1: blendMode = 'avg'
38.6875 	EXP 	window1: blendMode = 'avg'
38.7041 	EXP 	window1: blendMode = 'avg'
38.7208 	EXP 	window1: blendMode = 'avg'
38.7374 	EXP 	window1: blendMode = 'avg'
38.7542 	EXP 	window1: blendMode = 'avg'
38.7708 	EXP 	window1: blendMode = 'avg'
38.7875 	EXP 	window1: blendMode = 'avg'
38.8042 	EXP 	window1: blendMode = 'avg'
38.8208 	EXP 	window1: blendMode = 'avg'
38.8372 	EXP 	window1: blendMode = 'avg'
38.8542 	EXP 	window1: blendMode = 'avg'
38.8708 	EXP 	window1: blendMode = 'avg'
38.8873 	EXP 	window1: blendMode = 'avg'
38.9041 	EXP 	window1: blendMode = 'avg'
38.9208 	EXP 	window1: blendMode = 'avg'
38.9373 	EXP 	window1: blendMode = 'avg'
38.9541 	EXP 	window1: blendMode = 'avg'
38.9707 	EXP 	window1: blendMode = 'avg'
38.9872 	EXP 	window1: blendMode = 'avg'
39.0037 	EXP 	window1: blendMode = 'avg'
39.0205 	EXP 	window1: blendMode = 'avg'
39.0370 	EXP 	window1: blendMode = 'avg'
39.0537 	EXP 	window1: blendMode = 'avg'
39.0698 	EXP 	window1: blendMode = 'avg'
39.0863 	EXP 	window1: blendMode = 'avg'
39.1031 	EXP 	window1: blendMode = 'avg'
39.1205 	EXP 	window1: blendMode = 'avg'
39.1383 	EXP 	window1: blendMode = 'avg'
39.1548 	EXP 	window1: blendMode = 'avg'
39.1714 	EXP 	window1: blendMode = 'avg'
39.1884 	EXP 	window1: blendMode = 'avg'
39.2049 	EXP 	window1: blendMode = 'avg'
39.2213 	EXP 	window1: blendMode = 'avg'
39.2385 	EXP 	window1: blendMode = 'avg'
39.2545 	EXP 	window1: blendMode = 'avg'
39.2712 	EXP 	window1: blendMode = 'avg'
39.2879 	EXP 	window1: blendMode = 'avg'
39.3058 	EXP 	window1: blendMode = 'avg'
39.3212 	EXP 	window1: blendMode = 'avg'
39.3378 	EXP 	window1: blendMode = 'avg'
39.3545 	EXP 	window1: blendMode = 'avg'
39.3712 	EXP 	window1: blendMode = 'avg'
39.3879 	EXP 	window1: blendMode = 'avg'
39.4046 	EXP 	window1: blendMode = 'avg'
39.4212 	EXP 	window1: blendMode = 'avg'
39.4378 	EXP 	window1: blendMode = 'avg'
39.4546 	EXP 	window1: blendMode = 'avg'
39.4712 	EXP 	window1: blendMode = 'avg'
39.4878 	EXP 	window1: blendMode = 'avg'
39.5045 	EXP 	window1: blendMode = 'avg'
39.5212 	EXP 	window1: blendMode = 'avg'
39.5377 	EXP 	window1: blendMode = 'avg'
39.5547 	EXP 	window1: blendMode = 'avg'
39.5719 	EXP 	window1: blendMode = 'avg'
39.5879 	EXP 	window1: blendMode = 'avg'
39.6046 	EXP 	window1: blendMode = 'avg'
39.6211 	EXP 	window1: blendMode = 'avg'
39.6384 	EXP 	window1: blendMode = 'avg'
39.6545 	EXP 	window1: blendMode = 'avg'
39.6712 	EXP 	window1: blendMode = 'avg'
39.6885 	EXP 	window1: blendMode = 'avg'
39.7049 	EXP 	window1: blendMode = 'avg'
39.7211 	EXP 	window1: blendMode = 'avg'
39.7380 	EXP 	window1: blendMode = 'avg'
39.7546 	EXP 	window1: blendMode = 'avg'
39.7712 	EXP 	window1: blendMode = 'avg'
39.7879 	EXP 	window1: blendMode = 'avg'
39.8047 	EXP 	window1: blendMode = 'avg'
39.8211 	EXP 	window1: blendMode = 'avg'
39.8378 	EXP 	window1: blendMode = 'avg'
39.8546 	EXP 	window1: blendMode = 'avg'
39.8712 	EXP 	window1: blendMode = 'avg'
39.8878 	EXP 	window1: blendMode = 'avg'
39.9045 	EXP 	window1: blendMode = 'avg'
39.9212 	EXP 	window1: blendMode = 'avg'
39.9379 	EXP 	window1: blendMode = 'avg'
39.9545 	EXP 	window1: blendMode = 'avg'
39.9712 	EXP 	window1: blendMode = 'avg'
39.9879 	EXP 	window1: blendMode = 'avg'
40.0045 	EXP 	window1: blendMode = 'avg'
40.0212 	EXP 	window1: blendMode = 'avg'
40.0378 	EXP 	window1: blendMode = 'avg'
40.0545 	EXP 	window1: blendMode = 'avg'
40.0712 	EXP 	window1: blendMode = 'avg'
40.0878 	EXP 	window1: blendMode = 'avg'
40.1045 	EXP 	window1: blendMode = 'avg'
40.1212 	EXP 	window1: blendMode = 'avg'
40.1378 	EXP 	window1: blendMode = 'avg'
40.1545 	EXP 	window1: blendMode = 'avg'
40.1711 	EXP 	window1: blendMode = 'avg'
40.1879 	EXP 	window1: blendMode = 'avg'
40.2045 	EXP 	window1: blendMode = 'avg'
40.2212 	EXP 	window1: blendMode = 'avg'
40.2377 	EXP 	window1: blendMode = 'avg'
40.2545 	EXP 	window1: blendMode = 'avg'
40.2716 	EXP 	window1: blendMode = 'avg'
40.2878 	EXP 	window1: blendMode = 'avg'
40.3045 	EXP 	window1: blendMode = 'avg'
40.3216 	EXP 	window1: blendMode = 'avg'
40.3377 	EXP 	window1: blendMode = 'avg'
40.3546 	EXP 	window1: blendMode = 'avg'
40.3712 	EXP 	window1: blendMode = 'avg'
40.3877 	EXP 	window1: blendMode = 'avg'
40.4045 	EXP 	window1: blendMode = 'avg'
40.4211 	EXP 	window1: blendMode = 'avg'
40.4383 	EXP 	window1: blendMode = 'avg'
40.4545 	EXP 	window1: blendMode = 'avg'
40.4712 	EXP 	window1: blendMode = 'avg'
40.4883 	EXP 	window1: blendMode = 'avg'
40.5045 	EXP 	window1: blendMode = 'avg'
40.5212 	EXP 	window1: blendMode = 'avg'
40.5377 	EXP 	window1: blendMode = 'avg'
40.5552 	EXP 	window1: blendMode = 'avg'
40.5711 	EXP 	window1: blendMode = 'avg'
40.5878 	EXP 	window1: blendMode = 'avg'
40.6045 	EXP 	window1: blendMode = 'avg'
40.6212 	EXP 	window1: blendMode = 'avg'
40.6377 	EXP 	window1: blendMode = 'avg'
40.6545 	EXP 	window1: blendMode = 'avg'
40.6712 	EXP 	window1: blendMode = 'avg'
40.6879 	EXP 	window1: blendMode = 'avg'
40.7045 	EXP 	window1: blendMode = 'avg'
40.7212 	EXP 	window1: blendMode = 'avg'
40.7377 	EXP 	window1: blendMode = 'avg'
40.7545 	EXP 	window1: blendMode = 'avg'
40.7711 	EXP 	window1: blendMode = 'avg'
40.7877 	EXP 	window1: blendMode = 'avg'
40.8044 	EXP 	window1: blendMode = 'avg'
40.8216 	EXP 	window1: blendMode = 'avg'
40.8377 	EXP 	window1: blendMode = 'avg'
40.8543 	EXP 	window1: blendMode = 'avg'
40.8711 	EXP 	window1: blendMode = 'avg'
40.8881 	EXP 	window1: blendMode = 'avg'
40.9045 	EXP 	window1: blendMode = 'avg'
40.9211 	EXP 	window1: blendMode = 'avg'
40.9382 	EXP 	window1: blendMode = 'avg'
40.9545 	EXP 	window1: blendMode = 'avg'
40.9711 	EXP 	window1: blendMode = 'avg'
40.9882 	EXP 	window1: blendMode = 'avg'
41.0045 	EXP 	window1: blendMode = 'avg'
41.0210 	EXP 	window1: blendMode = 'avg'
41.0385 	EXP 	window1: blendMode = 'avg'
41.0545 	EXP 	window1: blendMode = 'avg'
41.0711 	EXP 	window1: blendMode = 'avg'
41.0877 	EXP 	window1: blendMode = 'avg'
41.1045 	EXP 	window1: blendMode = 'avg'
41.1211 	EXP 	window1: blendMode = 'avg'
41.1378 	EXP 	window1: blendMode = 'avg'
41.1544 	EXP 	window1: blendMode = 'avg'
41.1717 	EXP 	window1: blendMode = 'avg'
41.1878 	EXP 	window1: blendMode = 'avg'
41.2045 	EXP 	window1: blendMode = 'avg'
41.2212 	EXP 	window1: blendMode = 'avg'
41.2378 	EXP 	window1: blendMode = 'avg'
41.2544 	EXP 	window1: blendMode = 'avg'
41.2711 	EXP 	window1: blendMode = 'avg'
41.2878 	EXP 	window1: blendMode = 'avg'
41.3044 	EXP 	window1: blendMode = 'avg'
41.3213 	EXP 	window1: blendMode = 'avg'
41.3377 	EXP 	window1: blendMode = 'avg'
41.3545 	EXP 	window1: blendMode = 'avg'
41.3711 	EXP 	window1: blendMode = 'avg'
41.3877 	EXP 	window1: blendMode = 'avg'
41.4044 	EXP 	window1: blendMode = 'avg'
41.4212 	EXP 	window1: blendMode = 'avg'
41.4382 	EXP 	window1: blendMode = 'avg'
41.4544 	EXP 	window1: blendMode = 'avg'
41.4711 	EXP 	window1: blendMode = 'avg'
41.4884 	EXP 	window1: blendMode = 'avg'
41.5044 	EXP 	window1: blendMode = 'avg'
41.5211 	EXP 	window1: blendMode = 'avg'
41.5376 	EXP 	window1: blendMode = 'avg'
41.5549 	EXP 	window1: blendMode = 'avg'
41.5711 	EXP 	window1: blendMode = 'avg'
41.5877 	EXP 	window1: blendMode = 'avg'
41.6045 	EXP 	window1: blendMode = 'avg'
41.6211 	EXP 	window1: blendMode = 'avg'
41.6376 	EXP 	window1: blendMode = 'avg'
41.6545 	EXP 	window1: blendMode = 'avg'
41.6711 	EXP 	window1: blendMode = 'avg'
41.6877 	EXP 	window1: blendMode = 'avg'
41.7044 	EXP 	window1: blendMode = 'avg'
41.7211 	EXP 	window1: blendMode = 'avg'
41.7377 	EXP 	window1: blendMode = 'avg'
41.7545 	EXP 	window1: blendMode = 'avg'
41.7711 	EXP 	window1: blendMode = 'avg'
41.7884 	EXP 	window1: blendMode = 'avg'
41.8044 	EXP 	window1: blendMode = 'avg'
41.8211 	EXP 	window1: blendMode = 'avg'
41.8377 	EXP 	window1: blendMode = 'avg'
41.8544 	EXP 	window1: blendMode = 'avg'
41.8711 	EXP 	window1: blendMode = 'avg'
41.8877 	EXP 	window1: blendMode = 'avg'
41.9043 	EXP 	window1: blendMode = 'avg'
41.9211 	EXP 	window1: blendMode = 'avg'
41.9376 	EXP 	window1: blendMode = 'avg'
41.9544 	EXP 	window1: blendMode = 'avg'
41.9712 	EXP 	window1: blendMode = 'avg'
41.9876 	EXP 	window1: blendMode = 'avg'
42.0044 	EXP 	window1: blendMode = 'avg'
42.0211 	EXP 	window1: blendMode = 'avg'
42.0386 	EXP 	window1: blendMode = 'avg'
42.0544 	EXP 	window1: blendMode = 'avg'
42.0711 	EXP 	window1: blendMode = 'avg'
42.0876 	EXP 	window1: blendMode = 'avg'
42.1044 	EXP 	window1: blendMode = 'avg'
42.1211 	EXP 	window1: blendMode = 'avg'
42.1377 	EXP 	window1: blendMode = 'avg'
42.1544 	EXP 	window1: blendMode = 'avg'
42.1710 	EXP 	window1: blendMode = 'avg'
42.1876 	EXP 	window1: blendMode = 'avg'
42.2044 	EXP 	window1: blendMode = 'avg'
42.2211 	EXP 	window1: blendMode = 'avg'
42.2382 	EXP 	window1: blendMode = 'avg'
42.2543 	EXP 	window1: blendMode = 'avg'
42.2713 	EXP 	window1: blendMode = 'avg'
42.2886 	EXP 	window1: blendMode = 'avg'
42.3044 	EXP 	window1: blendMode = 'avg'
42.3213 	EXP 	window1: blendMode = 'avg'
42.3376 	EXP 	window1: blendMode = 'avg'
42.3544 	EXP 	window1: blendMode = 'avg'
42.3710 	EXP 	window1: blendMode = 'avg'
42.3876 	EXP 	window1: blendMode = 'avg'
