490.5678 	EXP 	Created Break = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Break', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
490.6098 	EXP 	instruct_p1: autoDraw = True
491.5358 	DATA 	Keypress: space
491.5373 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
491.5381 	EXP 	New trial (rep=0, index=0): None
491.6525 	EXP 	instruct_p1: autoDraw = False
491.6525 	EXP 	ready: text = 'Block 1\n\nReady?'
491.6525 	EXP 	ready: autoDraw = True
492.5884 	EXP 	ready: autoDraw = False
492.5884 	EXP 	go: autoDraw = True
493.0843 	EXP 	go: autoDraw = False
493.0843 	EXP 	gap: autoDraw = True
493.2704 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
493.2715 	EXP 	New trial (rep=0, index=0): None
493.3387 	EXP 	ready: autoDraw = False
493.3387 	EXP 	go: autoDraw = False
493.3387 	EXP 	gap: autoDraw = False
493.3387 	EXP 	text: text = 1
493.3387 	EXP 	text: autoDraw = True
493.4622 	EXP 	Imported tmp_stimuli.csv as conditions, 18 conditions, 6 params
493.4634 	EXP 	Created sequence: sequential, trialTypes=18, nReps=1, seed=None
493.4649 	EXP 	New trial (rep=0, index=0): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 1), ('stimulus', u'U'), ('cond', u'distractor')])
493.5192 	EXP 	text: autoDraw = False
493.5192 	EXP 	text_2: text = u'U'
493.5192 	EXP 	text_2: autoDraw = True
493.5592 	EXP 	text_2: autoDraw = False
493.5592 	EXP 	mask: autoDraw = True
493.5611 	EXP 	New trial (rep=0, index=1): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 2), ('stimulus', u'B'), ('cond', u'distractor')])
493.6098 	EXP 	text_2: autoDraw = False
493.6098 	EXP 	mask: autoDraw = False
493.6098 	EXP 	text_2: text = u'B'
493.6098 	EXP 	text_2: autoDraw = True
493.6112 	EXP 	New trial (rep=0, index=2): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 3), ('stimulus', u'Y'), ('cond', u'distractor')])
493.6539 	EXP 	text_2: autoDraw = False
493.6539 	EXP 	mask: autoDraw = False
493.6539 	EXP 	text_2: text = u'Y'
493.6539 	EXP 	text_2: autoDraw = True
493.6907 	EXP 	New trial (rep=0, index=3): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 4), ('stimulus', u'D'), ('cond', u'distractor')])
493.7312 	EXP 	text_2: autoDraw = False
493.7312 	EXP 	mask: autoDraw = False
493.7312 	EXP 	text_2: text = u'D'
493.7312 	EXP 	text_2: autoDraw = True
493.8028 	EXP 	text_2: autoDraw = False
493.8028 	EXP 	mask: autoDraw = True
493.8040 	EXP 	New trial (rep=0, index=4): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 5), ('stimulus', u'8'), ('cond', u'target')])
493.8570 	EXP 	text_2: autoDraw = False
493.8570 	EXP 	mask: autoDraw = False
493.8570 	EXP 	text_2: text = u'8'
493.8570 	EXP 	text_2: autoDraw = True
493.8585 	EXP 	New trial (rep=0, index=5): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 6), ('stimulus', u'K'), ('cond', u'distractor')])
493.9072 	EXP 	text_2: autoDraw = False
493.9072 	EXP 	mask: autoDraw = False
493.9072 	EXP 	text_2: text = u'K'
493.9072 	EXP 	text_2: autoDraw = True
493.9488 	EXP 	New trial (rep=0, index=6): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 7), ('stimulus', u'S'), ('cond', u'distractor')])
493.9900 	EXP 	text_2: autoDraw = False
493.9900 	EXP 	mask: autoDraw = False
493.9900 	EXP 	text_2: text = u'S'
493.9900 	EXP 	text_2: autoDraw = True
494.0298 	EXP 	New trial (rep=0, index=7): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 8), ('stimulus', u'F'), ('cond', u'distractor')])
494.0838 	EXP 	text_2: autoDraw = False
494.0838 	EXP 	mask: autoDraw = False
494.0838 	EXP 	text_2: text = u'F'
494.0838 	EXP 	text_2: autoDraw = True
494.1190 	EXP 	text_2: autoDraw = False
494.1190 	EXP 	mask: autoDraw = True
494.1205 	EXP 	New trial (rep=0, index=8): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 9), ('stimulus', u'Q'), ('cond', u'distractor')])
494.1687 	EXP 	text_2: autoDraw = False
494.1687 	EXP 	mask: autoDraw = False
494.1687 	EXP 	text_2: text = u'Q'
494.1687 	EXP 	text_2: autoDraw = True
494.2022 	EXP 	New trial (rep=0, index=9): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 10), ('stimulus', u' '), ('cond', u'mask')])
494.2457 	EXP 	text_2: autoDraw = False
494.2457 	EXP 	mask: autoDraw = False
494.2457 	EXP 	text_2: text = u' '
494.2457 	EXP 	text_2: autoDraw = True
494.2830 	EXP 	New trial (rep=0, index=10): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 11), ('stimulus', u'X'), ('cond', u'distractor')])
494.3267 	EXP 	text_2: autoDraw = False
494.3267 	EXP 	mask: autoDraw = False
494.3267 	EXP 	text_2: text = u'X'
494.3267 	EXP 	text_2: autoDraw = True
494.3626 	EXP 	New trial (rep=0, index=11): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 12), ('stimulus', u'N'), ('cond', u'distractor')])
494.4090 	EXP 	text_2: autoDraw = False
494.4090 	EXP 	mask: autoDraw = False
494.4090 	EXP 	text_2: text = u'N'
494.4090 	EXP 	text_2: autoDraw = True
494.4467 	EXP 	New trial (rep=0, index=12): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 13), ('stimulus', u'Y'), ('cond', u'distractor')])
494.4933 	EXP 	text_2: autoDraw = False
494.4933 	EXP 	mask: autoDraw = False
494.4933 	EXP 	text_2: text = u'Y'
494.4933 	EXP 	text_2: autoDraw = True
494.5296 	EXP 	New trial (rep=0, index=13): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 14), ('stimulus', u'H'), ('cond', u'distractor')])
494.5730 	EXP 	text_2: autoDraw = False
494.5730 	EXP 	mask: autoDraw = False
494.5730 	EXP 	text_2: text = u'H'
494.5730 	EXP 	text_2: autoDraw = True
494.6482 	EXP 	text_2: autoDraw = False
494.6482 	EXP 	mask: autoDraw = True
494.6494 	EXP 	New trial (rep=0, index=14): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 15), ('stimulus', u'C'), ('cond', u'distractor')])
494.6981 	EXP 	text_2: autoDraw = False
494.6981 	EXP 	mask: autoDraw = False
494.6981 	EXP 	text_2: text = u'C'
494.6981 	EXP 	text_2: autoDraw = True
494.6993 	EXP 	New trial (rep=0, index=15): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 16), ('stimulus', u'X'), ('cond', u'distractor')])
494.7386 	EXP 	text_2: autoDraw = False
494.7386 	EXP 	mask: autoDraw = False
494.7386 	EXP 	text_2: text = u'X'
494.7386 	EXP 	text_2: autoDraw = True
494.8125 	EXP 	text_2: autoDraw = False
494.8125 	EXP 	mask: autoDraw = True
494.8135 	EXP 	New trial (rep=0, index=16): OrderedDict([('block', 1), ('sep_dur', u'short'), ('Tx', u't1'), ('trial', 17), ('stimulus', u'N'), ('cond', u'distractor')])
494.8562 	EXP 	text_2: autoDraw = False
494.8562 	EXP 	mask: autoDraw = False
494.8562 	EXP 	text_2: text = u'N'
494.8562 	EXP 	text_2: autoDraw = True
