block,sep_dur,Tx,trial,stimulus,cond,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.thisRepN,stim.thisTrialN,stim.thisN,stim.thisIndex,usr_input_t1.keys,usr_input_t1.rt,usr_input_t2.keys,usr_input_t2.rt,date,run,expName,participant,frameRate,
1,short,t1,1,T,distractor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,2,V,distractor,0,0,0,0,0,0,0,0,0,1,1,1,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,3,H,distractor,0,0,0,0,0,0,0,0,0,2,2,2,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,4,K,distractor,0,0,0,0,0,0,0,0,0,3,3,3,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,5,I,distractor,0,0,0,0,0,0,0,0,0,4,4,4,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,6,I,distractor,0,0,0,0,0,0,0,0,0,5,5,5,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,7,U,distractor,0,0,0,0,0,0,0,0,0,6,6,6,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,8,P,distractor,0,0,0,0,0,0,0,0,0,7,7,7,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,9,Q,distractor,0,0,0,0,0,0,0,0,0,8,8,8,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,10,4,target,0,0,0,0,0,0,0,0,0,9,9,9,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,11,H,distractor,0,0,0,0,0,0,0,0,0,10,10,10,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,12,Y,distractor,0,0,0,0,0,0,0,0,0,11,11,11,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,13,Y,distractor,0,0,0,0,0,0,0,0,0,12,12,12,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,14,Y,distractor,0,0,0,0,0,0,0,0,0,13,13,13,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,15, ,mask,0,0,0,0,0,0,0,0,0,14,14,14,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,16,G,distractor,0,0,0,0,0,0,0,0,0,15,15,15,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
1,short,t1,17,Q,distractor,0,0,0,0,0,0,0,0,0,16,16,16,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
,,,,,,0,0,0,0,0,0,0,0,,,,,9,0.624579800002,9,0.226939,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,1,Y,distractor,0,0,0,0,1,0,1,0,0,0,0,0,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,2,K,distractor,0,0,0,0,1,0,1,0,0,1,1,1,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,3,R,distractor,0,0,0,0,1,0,1,0,0,2,2,2,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,4,Y,distractor,0,0,0,0,1,0,1,0,0,3,3,3,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,5,D,distractor,0,0,0,0,1,0,1,0,0,4,4,4,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,6,T,distractor,0,0,0,0,1,0,1,0,0,5,5,5,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,7,Y,distractor,0,0,0,0,1,0,1,0,0,6,6,6,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,8,Q,distractor,0,0,0,0,1,0,1,0,0,7,7,7,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,9,4,target,0,0,0,0,1,0,1,0,0,8,8,8,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,10,R,distractor,0,0,0,0,1,0,1,0,0,9,9,9,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,11,V,distractor,0,0,0,0,1,0,1,0,0,10,10,10,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,12,E,distractor,0,0,0,0,1,0,1,0,0,11,11,11,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,13,S,distractor,0,0,0,0,1,0,1,0,0,12,12,12,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,14, ,mask,0,0,0,0,1,0,1,0,0,13,13,13,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
2,short,t1,15,O,distractor,0,0,0,0,1,0,1,0,0,14,14,14,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
,,,,,,0,0,0,0,1,0,1,0,,,,,9,0.697485800003,9,0.26154230001,2018_Nov_05_1255,2,rsvp,1001,None,
3,short,t1,1,X,distractor,0,0,0,0,2,0,2,0,0,0,0,0,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
3,short,t1,2,E,distractor,0,0,0,0,2,0,2,0,0,1,1,1,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
3,short,t1,3,E,distractor,0,0,0,0,2,0,2,0,0,2,2,2,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
3,short,t1,4,S,distractor,0,0,0,0,2,0,2,0,0,3,3,3,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
3,short,t1,5,Q,distractor,0,0,0,0,2,0,2,0,0,4,4,4,,,,,2018_Nov_05_1255,2,rsvp,1001,None,
