train_loop.thisRepN,train_loop.thisTrialN,train_loop.thisN,train_loop.thisIndex,button_press.keys,button_press.rt,date,run,expName,participant,frameRate,
0,0,0,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
1,0,1,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
2,0,2,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
3,0,3,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
4,0,4,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
5,0,5,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
6,0,6,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
7,0,7,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
8,0,8,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
9,0,9,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
10,0,10,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
11,0,11,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
12,0,12,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
13,0,13,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
14,0,14,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
15,0,15,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
16,0,16,0,,,2018_Nov_06_1115,1,tap,10,59.2988972789,
,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.0712338000012096, 0.6430563999747392, 0.9107339999754913, 1.0881478999799583, 1.2485241999966092, 1.4006286999792792, 1.5843095999734942, 1.921325599978445]",2018_Nov_06_1115,1,tap,10,59.2988972789,
