begin.keys,begin.rt,end_exp.keys,end_exp.rt,date,frameRate,expName,session,participant,
space,1.20281335671,,,2018_Oct_03_1057,59.8175703934,somatic_relaxation_sr,001,1,
,,space,25.5680900111,2018_Oct_03_1057,59.8175703934,somatic_relaxation_sr,001,1,
