1.3609 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
8.2759 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x2015F650>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.2759 	EXP 	window1: recordFrameIntervals = False
8.4427 	EXP 	window1: recordFrameIntervals = True
8.6267 	EXP 	window1: recordFrameIntervals = False
8.7789 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
9.9617 	EXP 	Set  sound=C
23.5344 	EXP 	Set  sound=../stimuli/Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
23.5346 	EXP 	Sound  set volume 1.000
23.5612 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
23.5615 	DATA 	Keypress: escape
23.5617 	DATA 	Keypress: escape
23.5618 	DATA 	Keypress: escape
23.5620 	DATA 	Keypress: escape
23.5621 	DATA 	Keypress: escape
23.5623 	DATA 	Keypress: escape
23.5624 	DATA 	Keypress: escape
23.5626 	DATA 	Keypress: escape
23.5628 	DATA 	Keypress: escape
23.5629 	DATA 	Keypress: escape
23.5631 	DATA 	Keypress: escape
23.5632 	DATA 	Keypress: space
23.5639 	EXP 	window1: blendMode = 'avg'
23.5701 	EXP 	Instructions: autoDraw = True
23.5704 	EXP 	window1: blendMode = 'avg'
23.5749 	EXP 	window1: blendMode = 'avg'
23.5925 	EXP 	window1: blendMode = 'avg'
23.6095 	EXP 	window1: blendMode = 'avg'
23.6261 	EXP 	window1: blendMode = 'avg'
23.6432 	EXP 	window1: blendMode = 'avg'
23.6601 	EXP 	window1: blendMode = 'avg'
23.6763 	EXP 	window1: blendMode = 'avg'
23.6930 	EXP 	window1: blendMode = 'avg'
23.7102 	EXP 	window1: blendMode = 'avg'
23.7264 	EXP 	window1: blendMode = 'avg'
23.7431 	EXP 	window1: blendMode = 'avg'
23.7597 	EXP 	window1: blendMode = 'avg'
23.7763 	EXP 	window1: blendMode = 'avg'
23.7945 	EXP 	window1: blendMode = 'avg'
23.8096 	EXP 	window1: blendMode = 'avg'
23.8263 	EXP 	window1: blendMode = 'avg'
23.8430 	EXP 	window1: blendMode = 'avg'
23.8596 	EXP 	window1: blendMode = 'avg'
23.8762 	EXP 	window1: blendMode = 'avg'
23.8930 	EXP 	window1: blendMode = 'avg'
23.9099 	EXP 	window1: blendMode = 'avg'
23.9263 	EXP 	window1: blendMode = 'avg'
23.9431 	EXP 	window1: blendMode = 'avg'
23.9595 	EXP 	window1: blendMode = 'avg'
23.9763 	EXP 	window1: blendMode = 'avg'
23.9931 	EXP 	window1: blendMode = 'avg'
24.0097 	EXP 	window1: blendMode = 'avg'
24.0263 	EXP 	window1: blendMode = 'avg'
24.0430 	EXP 	window1: blendMode = 'avg'
24.0597 	EXP 	window1: blendMode = 'avg'
24.0763 	EXP 	window1: blendMode = 'avg'
24.0930 	EXP 	window1: blendMode = 'avg'
24.1097 	EXP 	window1: blendMode = 'avg'
24.1263 	EXP 	window1: blendMode = 'avg'
24.1430 	EXP 	window1: blendMode = 'avg'
24.1603 	EXP 	window1: blendMode = 'avg'
24.1763 	EXP 	window1: blendMode = 'avg'
24.1930 	EXP 	window1: blendMode = 'avg'
24.2097 	EXP 	window1: blendMode = 'avg'
24.2263 	EXP 	window1: blendMode = 'avg'
24.2429 	EXP 	window1: blendMode = 'avg'
24.2597 	EXP 	window1: blendMode = 'avg'
24.2763 	EXP 	window1: blendMode = 'avg'
24.2929 	EXP 	window1: blendMode = 'avg'
24.3099 	EXP 	window1: blendMode = 'avg'
24.3263 	EXP 	window1: blendMode = 'avg'
24.3429 	EXP 	window1: blendMode = 'avg'
24.3596 	EXP 	window1: blendMode = 'avg'
24.3763 	EXP 	window1: blendMode = 'avg'
24.3929 	EXP 	window1: blendMode = 'avg'
24.4096 	EXP 	window1: blendMode = 'avg'
24.4263 	EXP 	window1: blendMode = 'avg'
24.4430 	EXP 	window1: blendMode = 'avg'
24.4596 	EXP 	window1: blendMode = 'avg'
24.4763 	EXP 	window1: blendMode = 'avg'
24.4930 	EXP 	window1: blendMode = 'avg'
24.5096 	EXP 	window1: blendMode = 'avg'
24.5263 	EXP 	window1: blendMode = 'avg'
24.5430 	EXP 	window1: blendMode = 'avg'
24.5596 	EXP 	window1: blendMode = 'avg'
24.5762 	EXP 	window1: blendMode = 'avg'
24.5928 	EXP 	window1: blendMode = 'avg'
24.6097 	EXP 	window1: blendMode = 'avg'
24.6262 	EXP 	window1: blendMode = 'avg'
24.6430 	EXP 	window1: blendMode = 'avg'
24.6598 	EXP 	window1: blendMode = 'avg'
24.6763 	EXP 	window1: blendMode = 'avg'
24.6928 	EXP 	window1: blendMode = 'avg'
24.7096 	EXP 	window1: blendMode = 'avg'
24.7263 	EXP 	window1: blendMode = 'avg'
24.7430 	EXP 	window1: blendMode = 'avg'
24.7596 	EXP 	window1: blendMode = 'avg'
24.7762 	EXP 	window1: blendMode = 'avg'
24.7929 	EXP 	window1: blendMode = 'avg'
24.8096 	EXP 	window1: blendMode = 'avg'
24.8263 	EXP 	window1: blendMode = 'avg'
24.8429 	EXP 	window1: blendMode = 'avg'
24.8595 	EXP 	window1: blendMode = 'avg'
24.8763 	EXP 	window1: blendMode = 'avg'
24.8929 	EXP 	window1: blendMode = 'avg'
24.9096 	EXP 	window1: blendMode = 'avg'
24.9263 	EXP 	window1: blendMode = 'avg'
24.9429 	EXP 	window1: blendMode = 'avg'
24.9597 	EXP 	window1: blendMode = 'avg'
24.9763 	EXP 	window1: blendMode = 'avg'
24.9929 	EXP 	window1: blendMode = 'avg'
25.0096 	EXP 	window1: blendMode = 'avg'
25.0262 	EXP 	window1: blendMode = 'avg'
25.0429 	EXP 	window1: blendMode = 'avg'
25.0596 	EXP 	window1: blendMode = 'avg'
25.0761 	EXP 	window1: blendMode = 'avg'
25.0928 	EXP 	window1: blendMode = 'avg'
25.1097 	EXP 	window1: blendMode = 'avg'
25.1263 	EXP 	window1: blendMode = 'avg'
25.1428 	EXP 	window1: blendMode = 'avg'
25.1596 	EXP 	window1: blendMode = 'avg'
25.1762 	EXP 	window1: blendMode = 'avg'
25.1928 	EXP 	window1: blendMode = 'avg'
25.2097 	EXP 	window1: blendMode = 'avg'
25.2262 	EXP 	window1: blendMode = 'avg'
25.2429 	EXP 	window1: blendMode = 'avg'
25.2597 	EXP 	window1: blendMode = 'avg'
25.2762 	EXP 	window1: blendMode = 'avg'
25.2929 	EXP 	window1: blendMode = 'avg'
25.3096 	EXP 	window1: blendMode = 'avg'
25.3263 	EXP 	window1: blendMode = 'avg'
25.3428 	EXP 	window1: blendMode = 'avg'
25.3596 	EXP 	window1: blendMode = 'avg'
25.3762 	EXP 	window1: blendMode = 'avg'
25.3947 	EXP 	window1: blendMode = 'avg'
25.4096 	EXP 	window1: blendMode = 'avg'
25.4261 	EXP 	window1: blendMode = 'avg'
25.4429 	EXP 	window1: blendMode = 'avg'
25.4597 	EXP 	window1: blendMode = 'avg'
25.4763 	EXP 	window1: blendMode = 'avg'
25.4928 	EXP 	window1: blendMode = 'avg'
25.5096 	EXP 	window1: blendMode = 'avg'
25.5262 	EXP 	window1: blendMode = 'avg'
25.5429 	EXP 	window1: blendMode = 'avg'
25.5596 	EXP 	window1: blendMode = 'avg'
25.5762 	EXP 	window1: blendMode = 'avg'
25.5928 	EXP 	window1: blendMode = 'avg'
25.6096 	EXP 	window1: blendMode = 'avg'
25.6262 	EXP 	window1: blendMode = 'avg'
25.6428 	EXP 	window1: blendMode = 'avg'
25.6607 	EXP 	window1: blendMode = 'avg'
25.6762 	EXP 	window1: blendMode = 'avg'
25.6929 	EXP 	window1: blendMode = 'avg'
25.7096 	EXP 	window1: blendMode = 'avg'
25.7263 	EXP 	window1: blendMode = 'avg'
25.7429 	EXP 	window1: blendMode = 'avg'
25.7596 	EXP 	window1: blendMode = 'avg'
25.7763 	EXP 	window1: blendMode = 'avg'
25.7928 	EXP 	window1: blendMode = 'avg'
25.8095 	EXP 	window1: blendMode = 'avg'
25.8263 	EXP 	window1: blendMode = 'avg'
25.8430 	EXP 	window1: blendMode = 'avg'
25.8596 	EXP 	window1: blendMode = 'avg'
25.8762 	EXP 	window1: blendMode = 'avg'
25.8929 	EXP 	window1: blendMode = 'avg'
25.9099 	EXP 	window1: blendMode = 'avg'
25.9263 	EXP 	window1: blendMode = 'avg'
25.9429 	EXP 	window1: blendMode = 'avg'
25.9594 	EXP 	window1: blendMode = 'avg'
25.9762 	EXP 	window1: blendMode = 'avg'
25.9929 	EXP 	window1: blendMode = 'avg'
26.0096 	EXP 	window1: blendMode = 'avg'
26.0262 	EXP 	window1: blendMode = 'avg'
26.0428 	EXP 	window1: blendMode = 'avg'
26.0594 	EXP 	window1: blendMode = 'avg'
26.0762 	EXP 	window1: blendMode = 'avg'
26.0928 	EXP 	window1: blendMode = 'avg'
26.1096 	EXP 	window1: blendMode = 'avg'
26.1262 	EXP 	window1: blendMode = 'avg'
26.1429 	EXP 	window1: blendMode = 'avg'
26.1595 	EXP 	window1: blendMode = 'avg'
26.1762 	EXP 	window1: blendMode = 'avg'
26.1928 	EXP 	window1: blendMode = 'avg'
26.2096 	EXP 	window1: blendMode = 'avg'
26.2263 	EXP 	window1: blendMode = 'avg'
26.2428 	EXP 	window1: blendMode = 'avg'
26.2595 	EXP 	window1: blendMode = 'avg'
26.2766 	EXP 	window1: blendMode = 'avg'
26.2928 	EXP 	window1: blendMode = 'avg'
26.3100 	EXP 	window1: blendMode = 'avg'
26.3263 	EXP 	window1: blendMode = 'avg'
26.3440 	EXP 	window1: blendMode = 'avg'
26.3596 	EXP 	window1: blendMode = 'avg'
26.3761 	EXP 	window1: blendMode = 'avg'
26.3927 	EXP 	window1: blendMode = 'avg'
26.4094 	EXP 	window1: blendMode = 'avg'
26.4262 	EXP 	window1: blendMode = 'avg'
26.4428 	EXP 	window1: blendMode = 'avg'
26.4595 	EXP 	window1: blendMode = 'avg'
26.4762 	EXP 	window1: blendMode = 'avg'
26.4940 	EXP 	window1: blendMode = 'avg'
26.5099 	EXP 	window1: blendMode = 'avg'
26.5262 	EXP 	window1: blendMode = 'avg'
26.5421 	EXP 	window1: blendMode = 'avg'
26.5591 	EXP 	window1: blendMode = 'avg'
26.5756 	EXP 	window1: blendMode = 'avg'
26.5923 	EXP 	window1: blendMode = 'avg'
26.6089 	EXP 	window1: blendMode = 'avg'
26.6256 	EXP 	window1: blendMode = 'avg'
26.6422 	EXP 	window1: blendMode = 'avg'
26.6589 	EXP 	window1: blendMode = 'avg'
26.6755 	EXP 	window1: blendMode = 'avg'
26.6922 	EXP 	window1: blendMode = 'avg'
26.7100 	EXP 	window1: blendMode = 'avg'
26.7256 	EXP 	window1: blendMode = 'avg'
26.7421 	EXP 	window1: blendMode = 'avg'
26.7589 	EXP 	window1: blendMode = 'avg'
26.7757 	EXP 	window1: blendMode = 'avg'
26.7921 	EXP 	window1: blendMode = 'avg'
26.8090 	EXP 	window1: blendMode = 'avg'
26.8257 	EXP 	window1: blendMode = 'avg'
26.8422 	EXP 	window1: blendMode = 'avg'
26.8588 	DATA 	Keypress: escape
