1.3838 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
6.9534 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EFDE650>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9535 	EXP 	window1: recordFrameIntervals = False
7.1183 	EXP 	window1: recordFrameIntervals = True
7.3019 	EXP 	window1: recordFrameIntervals = False
7.4663 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.4044 	EXP 	Set  sound=C
14.9008 	EXP 	Set  sound=../stimuli/body_scan_long_norm.ogg
14.9009 	EXP 	Sound  set volume 1.000
14.9258 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.9264 	EXP 	window1: blendMode = 'avg'
14.9335 	EXP 	Instructions: autoDraw = True
14.9339 	EXP 	window1: blendMode = 'avg'
14.9511 	EXP 	window1: blendMode = 'avg'
14.9694 	EXP 	window1: blendMode = 'avg'
14.9857 	EXP 	window1: blendMode = 'avg'
15.0022 	EXP 	window1: blendMode = 'avg'
15.0190 	EXP 	window1: blendMode = 'avg'
15.0342 	EXP 	window1: blendMode = 'avg'
15.0509 	EXP 	window1: blendMode = 'avg'
15.0677 	EXP 	window1: blendMode = 'avg'
15.0846 	EXP 	window1: blendMode = 'avg'
15.1011 	EXP 	window1: blendMode = 'avg'
15.1183 	EXP 	window1: blendMode = 'avg'
15.1349 	EXP 	window1: blendMode = 'avg'
15.1514 	EXP 	window1: blendMode = 'avg'
15.1681 	EXP 	window1: blendMode = 'avg'
15.1847 	EXP 	window1: blendMode = 'avg'
15.2012 	EXP 	window1: blendMode = 'avg'
15.2175 	EXP 	window1: blendMode = 'avg'
15.2341 	EXP 	window1: blendMode = 'avg'
15.2509 	EXP 	window1: blendMode = 'avg'
15.2678 	EXP 	window1: blendMode = 'avg'
15.2847 	EXP 	window1: blendMode = 'avg'
15.3012 	EXP 	window1: blendMode = 'avg'
15.3181 	EXP 	window1: blendMode = 'avg'
15.3347 	EXP 	window1: blendMode = 'avg'
15.3513 	EXP 	window1: blendMode = 'avg'
15.3680 	EXP 	window1: blendMode = 'avg'
15.3846 	EXP 	window1: blendMode = 'avg'
15.4011 	EXP 	window1: blendMode = 'avg'
15.4179 	EXP 	window1: blendMode = 'avg'
15.4347 	EXP 	window1: blendMode = 'avg'
15.4512 	EXP 	window1: blendMode = 'avg'
15.4680 	EXP 	window1: blendMode = 'avg'
15.4850 	EXP 	window1: blendMode = 'avg'
15.5012 	EXP 	window1: blendMode = 'avg'
15.5181 	EXP 	window1: blendMode = 'avg'
15.5346 	EXP 	window1: blendMode = 'avg'
15.5514 	EXP 	window1: blendMode = 'avg'
15.5680 	EXP 	window1: blendMode = 'avg'
15.5846 	EXP 	window1: blendMode = 'avg'
15.6016 	EXP 	window1: blendMode = 'avg'
15.6180 	EXP 	window1: blendMode = 'avg'
15.6346 	EXP 	window1: blendMode = 'avg'
15.6514 	EXP 	window1: blendMode = 'avg'
15.6680 	EXP 	window1: blendMode = 'avg'
15.6846 	EXP 	window1: blendMode = 'avg'
15.7013 	EXP 	window1: blendMode = 'avg'
15.7180 	EXP 	window1: blendMode = 'avg'
15.7346 	EXP 	window1: blendMode = 'avg'
15.7512 	EXP 	window1: blendMode = 'avg'
15.7681 	EXP 	window1: blendMode = 'avg'
15.7847 	EXP 	window1: blendMode = 'avg'
15.8013 	EXP 	window1: blendMode = 'avg'
15.8179 	EXP 	window1: blendMode = 'avg'
15.8347 	EXP 	window1: blendMode = 'avg'
15.8512 	EXP 	window1: blendMode = 'avg'
15.8680 	EXP 	window1: blendMode = 'avg'
15.8846 	EXP 	window1: blendMode = 'avg'
15.9011 	EXP 	window1: blendMode = 'avg'
15.9180 	EXP 	window1: blendMode = 'avg'
15.9348 	EXP 	window1: blendMode = 'avg'
15.9513 	EXP 	window1: blendMode = 'avg'
15.9681 	EXP 	window1: blendMode = 'avg'
15.9848 	EXP 	window1: blendMode = 'avg'
16.0013 	EXP 	window1: blendMode = 'avg'
16.0181 	EXP 	window1: blendMode = 'avg'
16.0347 	EXP 	window1: blendMode = 'avg'
16.0513 	EXP 	window1: blendMode = 'avg'
16.0682 	EXP 	window1: blendMode = 'avg'
16.0848 	EXP 	window1: blendMode = 'avg'
16.1013 	EXP 	window1: blendMode = 'avg'
16.1180 	EXP 	window1: blendMode = 'avg'
16.1346 	EXP 	window1: blendMode = 'avg'
16.1512 	EXP 	window1: blendMode = 'avg'
16.1681 	EXP 	window1: blendMode = 'avg'
16.1848 	EXP 	window1: blendMode = 'avg'
16.2013 	EXP 	window1: blendMode = 'avg'
16.2181 	EXP 	window1: blendMode = 'avg'
16.2353 	EXP 	window1: blendMode = 'avg'
16.2514 	EXP 	window1: blendMode = 'avg'
16.2681 	EXP 	window1: blendMode = 'avg'
16.2850 	EXP 	window1: blendMode = 'avg'
16.3013 	EXP 	window1: blendMode = 'avg'
16.3181 	EXP 	window1: blendMode = 'avg'
16.3348 	EXP 	window1: blendMode = 'avg'
16.3512 	EXP 	window1: blendMode = 'avg'
16.3681 	EXP 	window1: blendMode = 'avg'
16.3846 	EXP 	window1: blendMode = 'avg'
16.4012 	EXP 	window1: blendMode = 'avg'
16.4181 	EXP 	window1: blendMode = 'avg'
16.4349 	EXP 	window1: blendMode = 'avg'
16.4512 	EXP 	window1: blendMode = 'avg'
16.4680 	EXP 	window1: blendMode = 'avg'
16.4854 	EXP 	window1: blendMode = 'avg'
16.5013 	EXP 	window1: blendMode = 'avg'
16.5181 	EXP 	window1: blendMode = 'avg'
16.5352 	EXP 	window1: blendMode = 'avg'
16.5513 	EXP 	window1: blendMode = 'avg'
16.5680 	EXP 	window1: blendMode = 'avg'
16.5848 	EXP 	window1: blendMode = 'avg'
16.6013 	EXP 	window1: blendMode = 'avg'
16.6181 	EXP 	window1: blendMode = 'avg'
16.6347 	EXP 	window1: blendMode = 'avg'
16.6513 	EXP 	window1: blendMode = 'avg'
16.6681 	EXP 	window1: blendMode = 'avg'
16.6847 	EXP 	window1: blendMode = 'avg'
16.7013 	EXP 	window1: blendMode = 'avg'
16.7181 	EXP 	window1: blendMode = 'avg'
16.7347 	EXP 	window1: blendMode = 'avg'
16.7512 	EXP 	window1: blendMode = 'avg'
16.7681 	EXP 	window1: blendMode = 'avg'
16.7846 	EXP 	window1: blendMode = 'avg'
16.8013 	EXP 	window1: blendMode = 'avg'
16.8180 	EXP 	window1: blendMode = 'avg'
16.8348 	EXP 	window1: blendMode = 'avg'
16.8513 	EXP 	window1: blendMode = 'avg'
16.8681 	EXP 	window1: blendMode = 'avg'
16.8847 	EXP 	window1: blendMode = 'avg'
16.9013 	EXP 	window1: blendMode = 'avg'
16.9181 	EXP 	window1: blendMode = 'avg'
16.9348 	EXP 	window1: blendMode = 'avg'
16.9517 	EXP 	window1: blendMode = 'avg'
16.9681 	EXP 	window1: blendMode = 'avg'
16.9847 	EXP 	window1: blendMode = 'avg'
17.0018 	EXP 	window1: blendMode = 'avg'
17.0181 	EXP 	window1: blendMode = 'avg'
17.0347 	EXP 	window1: blendMode = 'avg'
17.0519 	EXP 	window1: blendMode = 'avg'
17.0681 	EXP 	window1: blendMode = 'avg'
17.0847 	EXP 	window1: blendMode = 'avg'
17.1018 	EXP 	window1: blendMode = 'avg'
17.1181 	EXP 	window1: blendMode = 'avg'
17.1348 	EXP 	window1: blendMode = 'avg'
17.1518 	EXP 	window1: blendMode = 'avg'
17.1680 	EXP 	window1: blendMode = 'avg'
17.1847 	EXP 	window1: blendMode = 'avg'
17.2012 	EXP 	window1: blendMode = 'avg'
17.2178 	EXP 	window1: blendMode = 'avg'
17.2347 	EXP 	window1: blendMode = 'avg'
17.2512 	EXP 	window1: blendMode = 'avg'
17.2681 	DATA 	Keypress: space
17.2694 	EXP 	Sound  started
17.2840 	EXP 	Instructions: autoDraw = False
18.3343 	DATA 	Keypress: lwindows
1325.2612 	EXP 	Sound  stopped
1325.2613 	EXP 	Sound  stopped
1325.2625 	EXP 	window1: blendMode = 'avg'
1325.2760 	EXP 	text: autoDraw = True
1325.2768 	EXP 	window1: blendMode = 'avg'
1325.2951 	EXP 	window1: blendMode = 'avg'
1325.3098 	EXP 	window1: blendMode = 'avg'
1325.3284 	EXP 	window1: blendMode = 'avg'
1325.3431 	EXP 	window1: blendMode = 'avg'
1325.3618 	EXP 	window1: blendMode = 'avg'
1325.3765 	EXP 	window1: blendMode = 'avg'
1325.3951 	EXP 	window1: blendMode = 'avg'
1325.4099 	EXP 	window1: blendMode = 'avg'
1325.4283 	EXP 	window1: blendMode = 'avg'
1325.4431 	EXP 	window1: blendMode = 'avg'
1325.4617 	EXP 	window1: blendMode = 'avg'
1325.4766 	EXP 	window1: blendMode = 'avg'
1325.4950 	EXP 	window1: blendMode = 'avg'
1325.5099 	EXP 	window1: blendMode = 'avg'
1325.5281 	EXP 	window1: blendMode = 'avg'
1325.5430 	EXP 	window1: blendMode = 'avg'
1325.5619 	EXP 	window1: blendMode = 'avg'
1325.5765 	EXP 	window1: blendMode = 'avg'
1325.5951 	EXP 	window1: blendMode = 'avg'
1325.6101 	EXP 	window1: blendMode = 'avg'
1325.6282 	EXP 	window1: blendMode = 'avg'
1325.6433 	EXP 	window1: blendMode = 'avg'
1325.6618 	EXP 	window1: blendMode = 'avg'
1325.6766 	EXP 	window1: blendMode = 'avg'
1325.6950 	EXP 	window1: blendMode = 'avg'
1325.7103 	EXP 	window1: blendMode = 'avg'
1325.7280 	EXP 	window1: blendMode = 'avg'
1325.7429 	EXP 	window1: blendMode = 'avg'
1325.7616 	EXP 	window1: blendMode = 'avg'
1325.7772 	EXP 	window1: blendMode = 'avg'
1325.7949 	EXP 	window1: blendMode = 'avg'
1325.8098 	EXP 	window1: blendMode = 'avg'
1325.8282 	EXP 	window1: blendMode = 'avg'
1325.8428 	EXP 	window1: blendMode = 'avg'
1325.8618 	EXP 	window1: blendMode = 'avg'
1325.8765 	EXP 	window1: blendMode = 'avg'
1325.8955 	EXP 	window1: blendMode = 'avg'
1325.9100 	EXP 	window1: blendMode = 'avg'
1325.9288 	EXP 	window1: blendMode = 'avg'
1325.9430 	EXP 	window1: blendMode = 'avg'
1325.9618 	EXP 	window1: blendMode = 'avg'
1325.9766 	EXP 	window1: blendMode = 'avg'
1325.9950 	EXP 	window1: blendMode = 'avg'
1326.0098 	EXP 	window1: blendMode = 'avg'
1326.0282 	EXP 	window1: blendMode = 'avg'
1326.0431 	EXP 	window1: blendMode = 'avg'
1326.0614 	EXP 	window1: blendMode = 'avg'
1326.0768 	EXP 	window1: blendMode = 'avg'
1326.0950 	EXP 	window1: blendMode = 'avg'
1326.1098 	EXP 	window1: blendMode = 'avg'
1326.1287 	EXP 	window1: blendMode = 'avg'
1326.1430 	EXP 	window1: blendMode = 'avg'
1326.1617 	EXP 	window1: blendMode = 'avg'
1326.1767 	EXP 	window1: blendMode = 'avg'
1326.1950 	EXP 	window1: blendMode = 'avg'
1326.2101 	EXP 	window1: blendMode = 'avg'
1326.2283 	EXP 	window1: blendMode = 'avg'
1326.2429 	EXP 	window1: blendMode = 'avg'
1326.2617 	EXP 	window1: blendMode = 'avg'
1326.2771 	EXP 	window1: blendMode = 'avg'
1326.2950 	EXP 	window1: blendMode = 'avg'
1326.3097 	EXP 	window1: blendMode = 'avg'
1326.3279 	EXP 	window1: blendMode = 'avg'
1326.3434 	EXP 	window1: blendMode = 'avg'
1326.3613 	EXP 	window1: blendMode = 'avg'
1326.3764 	EXP 	window1: blendMode = 'avg'
1326.3949 	EXP 	window1: blendMode = 'avg'
1326.4100 	EXP 	window1: blendMode = 'avg'
1326.4283 	EXP 	window1: blendMode = 'avg'
1326.4431 	EXP 	window1: blendMode = 'avg'
1326.4618 	EXP 	window1: blendMode = 'avg'
1326.4765 	EXP 	window1: blendMode = 'avg'
1326.4949 	EXP 	window1: blendMode = 'avg'
1326.5099 	EXP 	window1: blendMode = 'avg'
1326.5286 	EXP 	window1: blendMode = 'avg'
1326.5430 	EXP 	window1: blendMode = 'avg'
1326.5616 	EXP 	window1: blendMode = 'avg'
1326.5767 	EXP 	window1: blendMode = 'avg'
1326.5949 	EXP 	window1: blendMode = 'avg'
1326.6098 	EXP 	window1: blendMode = 'avg'
1326.6280 	EXP 	window1: blendMode = 'avg'
1326.6430 	EXP 	window1: blendMode = 'avg'
1326.6617 	EXP 	window1: blendMode = 'avg'
1326.6768 	EXP 	window1: blendMode = 'avg'
1326.6950 	EXP 	window1: blendMode = 'avg'
1326.7101 	EXP 	window1: blendMode = 'avg'
1326.7281 	EXP 	window1: blendMode = 'avg'
