begin.keys,begin.rt,end_exp.keys,end_exp.rt,date,frameRate,expName,session,participant,
space,2.5295983563,,,2018_Oct_03_1051,59.9801395308,somatic_relaxation_sr,001,1,
,,space,250.749323343,2018_Oct_03_1051,59.9801395308,somatic_relaxation_sr,001,1,
