begin.keys,begin.rt,end_exp.keys,end_exp.rt,date,frameRate,expName,session,participant,
space,40.1506028622,,,2018_Oct_03_1131,60.0843098772,somatic_relaxation_sr,001,1,
,,space,35.2712729453,2018_Oct_03_1131,60.0843098772,somatic_relaxation_sr,001,1,
