1.3542 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
5.1272 	WARNING 	User requested fullscreen with size [2160 1440], but screen is actually [1024, 768]. Using actual size
5.8360 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EFC3630>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8361 	EXP 	window1: recordFrameIntervals = False
6.0013 	EXP 	window1: recordFrameIntervals = True
6.1852 	EXP 	window1: recordFrameIntervals = False
6.3376 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.5077 	EXP 	Set  sound=C
20.5253 	EXP 	Set  sound=../stimuli/Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
20.5254 	EXP 	Sound  set volume 1.000
20.5512 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.5542 	EXP 	Instructions: autoDraw = True
20.5542 	EXP 	Instructions: autoDraw = False
23.0837 	DATA 	Keypress: space
36.1466 	EXP 	Set  sound=../stimuli/Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
36.1492 	EXP 	Sound  started
36.1495 	EXP 	Sound  stopped
36.1521 	EXP 	Instructions: autoDraw = False
36.1521 	EXP 	text: autoDraw = True
36.1521 	EXP 	text: autoDraw = False
286.9013 	DATA 	Keypress: space
286.9340 	EXP 	window1: mouseVisible = True
