1.3738 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
5.6386 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x20138650>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.6387 	EXP 	window1: recordFrameIntervals = False
5.8038 	EXP 	window1: recordFrameIntervals = True
5.9876 	EXP 	window1: recordFrameIntervals = False
6.1533 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
7.3209 	EXP 	Set  sound=C
20.4195 	EXP 	Set  sound=../stimuli/Newcastle Hospitals - unknown album - 00 - Progressive Muscle Relaxation - Male Voice.ogg
20.4197 	EXP 	Sound  set volume 1.000
20.4452 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.4459 	EXP 	window1: blendMode = 'avg'
20.4525 	EXP 	Instructions: autoDraw = True
20.4539 	EXP 	window1: blendMode = 'avg'
20.4685 	EXP 	window1: blendMode = 'avg'
20.4859 	EXP 	window1: blendMode = 'avg'
20.5025 	EXP 	window1: blendMode = 'avg'
20.5191 	EXP 	window1: blendMode = 'avg'
20.5362 	EXP 	window1: blendMode = 'avg'
20.5529 	EXP 	window1: blendMode = 'avg'
20.5695 	EXP 	window1: blendMode = 'avg'
20.5864 	EXP 	window1: blendMode = 'avg'
20.6031 	EXP 	window1: blendMode = 'avg'
20.6195 	EXP 	window1: blendMode = 'avg'
20.6363 	EXP 	window1: blendMode = 'avg'
20.6528 	EXP 	window1: blendMode = 'avg'
20.6695 	EXP 	window1: blendMode = 'avg'
20.6863 	EXP 	window1: blendMode = 'avg'
20.7029 	EXP 	window1: blendMode = 'avg'
20.7195 	EXP 	window1: blendMode = 'avg'
20.7363 	EXP 	window1: blendMode = 'avg'
20.7529 	EXP 	window1: blendMode = 'avg'
20.7699 	EXP 	window1: blendMode = 'avg'
20.7864 	EXP 	window1: blendMode = 'avg'
20.8029 	EXP 	window1: blendMode = 'avg'
20.8200 	EXP 	window1: blendMode = 'avg'
20.8365 	EXP 	window1: blendMode = 'avg'
20.8529 	EXP 	window1: blendMode = 'avg'
20.8695 	EXP 	window1: blendMode = 'avg'
20.8862 	EXP 	window1: blendMode = 'avg'
20.9028 	EXP 	window1: blendMode = 'avg'
20.9195 	EXP 	window1: blendMode = 'avg'
20.9363 	EXP 	window1: blendMode = 'avg'
20.9530 	EXP 	window1: blendMode = 'avg'
20.9695 	EXP 	window1: blendMode = 'avg'
20.9863 	EXP 	window1: blendMode = 'avg'
21.0029 	EXP 	window1: blendMode = 'avg'
21.0194 	EXP 	window1: blendMode = 'avg'
21.0362 	EXP 	window1: blendMode = 'avg'
21.0529 	EXP 	window1: blendMode = 'avg'
21.0695 	EXP 	window1: blendMode = 'avg'
21.0862 	EXP 	window1: blendMode = 'avg'
21.1030 	EXP 	window1: blendMode = 'avg'
21.1194 	EXP 	window1: blendMode = 'avg'
21.1363 	EXP 	window1: blendMode = 'avg'
21.1530 	EXP 	window1: blendMode = 'avg'
21.1695 	EXP 	window1: blendMode = 'avg'
21.1863 	EXP 	window1: blendMode = 'avg'
21.2029 	EXP 	window1: blendMode = 'avg'
21.2198 	EXP 	window1: blendMode = 'avg'
21.2362 	EXP 	window1: blendMode = 'avg'
21.2537 	EXP 	window1: blendMode = 'avg'
21.2695 	EXP 	window1: blendMode = 'avg'
21.2862 	EXP 	window1: blendMode = 'avg'
21.3029 	EXP 	window1: blendMode = 'avg'
21.3193 	EXP 	window1: blendMode = 'avg'
21.3364 	EXP 	window1: blendMode = 'avg'
21.3529 	EXP 	window1: blendMode = 'avg'
21.3695 	EXP 	window1: blendMode = 'avg'
21.3863 	EXP 	window1: blendMode = 'avg'
21.4029 	EXP 	window1: blendMode = 'avg'
21.4195 	EXP 	window1: blendMode = 'avg'
21.4363 	EXP 	window1: blendMode = 'avg'
21.4528 	EXP 	window1: blendMode = 'avg'
21.4695 	EXP 	window1: blendMode = 'avg'
21.4862 	EXP 	window1: blendMode = 'avg'
21.5029 	EXP 	window1: blendMode = 'avg'
21.5195 	EXP 	window1: blendMode = 'avg'
21.5363 	EXP 	window1: blendMode = 'avg'
21.5528 	EXP 	window1: blendMode = 'avg'
21.5695 	EXP 	window1: blendMode = 'avg'
21.5863 	EXP 	window1: blendMode = 'avg'
21.6029 	EXP 	window1: blendMode = 'avg'
21.6196 	EXP 	window1: blendMode = 'avg'
21.6363 	EXP 	window1: blendMode = 'avg'
21.6528 	EXP 	window1: blendMode = 'avg'
21.6695 	EXP 	window1: blendMode = 'avg'
21.6864 	EXP 	window1: blendMode = 'avg'
21.7029 	EXP 	window1: blendMode = 'avg'
21.7195 	EXP 	window1: blendMode = 'avg'
21.7362 	EXP 	window1: blendMode = 'avg'
21.7529 	EXP 	window1: blendMode = 'avg'
21.7695 	EXP 	window1: blendMode = 'avg'
21.7863 	EXP 	window1: blendMode = 'avg'
21.8029 	EXP 	window1: blendMode = 'avg'
21.8195 	EXP 	window1: blendMode = 'avg'
21.8362 	EXP 	window1: blendMode = 'avg'
21.8528 	EXP 	window1: blendMode = 'avg'
21.8696 	EXP 	window1: blendMode = 'avg'
21.8863 	EXP 	window1: blendMode = 'avg'
21.9028 	EXP 	window1: blendMode = 'avg'
21.9194 	EXP 	window1: blendMode = 'avg'
21.9362 	EXP 	window1: blendMode = 'avg'
21.9529 	EXP 	window1: blendMode = 'avg'
21.9696 	EXP 	window1: blendMode = 'avg'
21.9863 	EXP 	window1: blendMode = 'avg'
22.0028 	EXP 	window1: blendMode = 'avg'
22.0194 	EXP 	window1: blendMode = 'avg'
22.0362 	EXP 	window1: blendMode = 'avg'
22.0528 	EXP 	window1: blendMode = 'avg'
22.0694 	EXP 	window1: blendMode = 'avg'
22.0862 	EXP 	window1: blendMode = 'avg'
22.1028 	EXP 	window1: blendMode = 'avg'
22.1196 	EXP 	window1: blendMode = 'avg'
22.1362 	EXP 	window1: blendMode = 'avg'
22.1528 	EXP 	window1: blendMode = 'avg'
22.1695 	EXP 	window1: blendMode = 'avg'
22.1862 	EXP 	window1: blendMode = 'avg'
22.2028 	EXP 	window1: blendMode = 'avg'
22.2194 	EXP 	window1: blendMode = 'avg'
22.2363 	EXP 	window1: blendMode = 'avg'
22.2528 	EXP 	window1: blendMode = 'avg'
22.2695 	EXP 	window1: blendMode = 'avg'
22.2862 	EXP 	window1: blendMode = 'avg'
22.3028 	EXP 	window1: blendMode = 'avg'
22.3194 	EXP 	window1: blendMode = 'avg'
22.3362 	EXP 	window1: blendMode = 'avg'
22.3528 	EXP 	window1: blendMode = 'avg'
22.3694 	EXP 	window1: blendMode = 'avg'
22.3862 	EXP 	window1: blendMode = 'avg'
22.4027 	EXP 	window1: blendMode = 'avg'
22.4194 	EXP 	window1: blendMode = 'avg'
22.4362 	EXP 	window1: blendMode = 'avg'
22.4529 	EXP 	window1: blendMode = 'avg'
22.4694 	EXP 	window1: blendMode = 'avg'
22.4864 	EXP 	window1: blendMode = 'avg'
22.5028 	EXP 	window1: blendMode = 'avg'
22.5195 	EXP 	window1: blendMode = 'avg'
22.5363 	EXP 	window1: blendMode = 'avg'
22.5528 	EXP 	window1: blendMode = 'avg'
22.5694 	EXP 	window1: blendMode = 'avg'
22.5862 	EXP 	window1: blendMode = 'avg'
22.6028 	EXP 	window1: blendMode = 'avg'
22.6195 	EXP 	window1: blendMode = 'avg'
22.6363 	EXP 	window1: blendMode = 'avg'
22.6527 	EXP 	window1: blendMode = 'avg'
22.6695 	EXP 	window1: blendMode = 'avg'
22.6863 	EXP 	window1: blendMode = 'avg'
22.7028 	EXP 	window1: blendMode = 'avg'
22.7196 	EXP 	window1: blendMode = 'avg'
22.7356 	EXP 	window1: blendMode = 'avg'
22.7522 	EXP 	window1: blendMode = 'avg'
22.7689 	EXP 	window1: blendMode = 'avg'
22.7858 	EXP 	window1: blendMode = 'avg'
22.8028 	EXP 	window1: blendMode = 'avg'
22.8192 	EXP 	window1: blendMode = 'avg'
22.8361 	EXP 	window1: blendMode = 'avg'
22.8528 	EXP 	window1: blendMode = 'avg'
22.8693 	EXP 	window1: blendMode = 'avg'
22.8862 	EXP 	window1: blendMode = 'avg'
22.9030 	EXP 	window1: blendMode = 'avg'
22.9193 	EXP 	window1: blendMode = 'avg'
22.9362 	EXP 	window1: blendMode = 'avg'
22.9529 	EXP 	window1: blendMode = 'avg'
22.9693 	EXP 	window1: blendMode = 'avg'
22.9862 	EXP 	window1: blendMode = 'avg'
23.0027 	EXP 	window1: blendMode = 'avg'
23.0194 	EXP 	window1: blendMode = 'avg'
23.0362 	EXP 	window1: blendMode = 'avg'
23.0529 	EXP 	window1: blendMode = 'avg'
23.0693 	EXP 	window1: blendMode = 'avg'
23.0860 	EXP 	window1: blendMode = 'avg'
23.1027 	EXP 	window1: blendMode = 'avg'
23.1193 	EXP 	window1: blendMode = 'avg'
23.1359 	EXP 	window1: blendMode = 'avg'
23.1525 	EXP 	window1: blendMode = 'avg'
23.1692 	EXP 	window1: blendMode = 'avg'
23.1860 	EXP 	window1: blendMode = 'avg'
23.2026 	EXP 	window1: blendMode = 'avg'
23.2193 	EXP 	window1: blendMode = 'avg'
23.2361 	EXP 	window1: blendMode = 'avg'
23.2528 	EXP 	window1: blendMode = 'avg'
23.2693 	EXP 	window1: blendMode = 'avg'
23.2861 	EXP 	window1: blendMode = 'avg'
23.3028 	EXP 	window1: blendMode = 'avg'
23.3194 	EXP 	window1: blendMode = 'avg'
23.3362 	EXP 	window1: blendMode = 'avg'
23.3528 	EXP 	window1: blendMode = 'avg'
23.3695 	EXP 	window1: blendMode = 'avg'
23.3864 	EXP 	window1: blendMode = 'avg'
23.4028 	EXP 	window1: blendMode = 'avg'
23.4195 	EXP 	window1: blendMode = 'avg'
23.4362 	EXP 	window1: blendMode = 'avg'
23.4528 	EXP 	window1: blendMode = 'avg'
23.4694 	EXP 	window1: blendMode = 'avg'
23.4862 	EXP 	window1: blendMode = 'avg'
23.5028 	EXP 	window1: blendMode = 'avg'
23.5196 	EXP 	window1: blendMode = 'avg'
23.5363 	EXP 	window1: blendMode = 'avg'
23.5528 	EXP 	window1: blendMode = 'avg'
23.5695 	EXP 	window1: blendMode = 'avg'
23.5863 	EXP 	window1: blendMode = 'avg'
23.6028 	EXP 	window1: blendMode = 'avg'
23.6195 	EXP 	window1: blendMode = 'avg'
23.6363 	EXP 	window1: blendMode = 'avg'
23.6528 	EXP 	window1: blendMode = 'avg'
23.6694 	EXP 	window1: blendMode = 'avg'
23.6864 	EXP 	window1: blendMode = 'avg'
23.7028 	EXP 	window1: blendMode = 'avg'
23.7195 	EXP 	window1: blendMode = 'avg'
23.7364 	EXP 	window1: blendMode = 'avg'
23.7528 	EXP 	window1: blendMode = 'avg'
23.7697 	EXP 	window1: blendMode = 'avg'
23.7863 	EXP 	window1: blendMode = 'avg'
23.8028 	EXP 	window1: blendMode = 'avg'
23.8195 	EXP 	window1: blendMode = 'avg'
23.8363 	EXP 	window1: blendMode = 'avg'
23.8527 	EXP 	window1: blendMode = 'avg'
23.8695 	EXP 	window1: blendMode = 'avg'
23.8862 	EXP 	window1: blendMode = 'avg'
23.9029 	EXP 	window1: blendMode = 'avg'
23.9197 	EXP 	window1: blendMode = 'avg'
23.9363 	EXP 	window1: blendMode = 'avg'
23.9527 	EXP 	window1: blendMode = 'avg'
23.9695 	EXP 	window1: blendMode = 'avg'
23.9863 	EXP 	window1: blendMode = 'avg'
24.0028 	EXP 	window1: blendMode = 'avg'
24.0195 	EXP 	window1: blendMode = 'avg'
24.0363 	EXP 	window1: blendMode = 'avg'
24.0527 	EXP 	window1: blendMode = 'avg'
24.0695 	EXP 	window1: blendMode = 'avg'
24.0862 	EXP 	window1: blendMode = 'avg'
24.1027 	EXP 	window1: blendMode = 'avg'
24.1195 	EXP 	window1: blendMode = 'avg'
24.1363 	EXP 	window1: blendMode = 'avg'
24.1528 	EXP 	window1: blendMode = 'avg'
24.1697 	EXP 	window1: blendMode = 'avg'
24.1864 	EXP 	window1: blendMode = 'avg'
24.2028 	EXP 	window1: blendMode = 'avg'
24.2195 	EXP 	window1: blendMode = 'avg'
24.2364 	EXP 	window1: blendMode = 'avg'
24.2528 	EXP 	window1: blendMode = 'avg'
24.2696 	EXP 	window1: blendMode = 'avg'
24.2863 	EXP 	window1: blendMode = 'avg'
24.3028 	EXP 	window1: blendMode = 'avg'
24.3195 	EXP 	window1: blendMode = 'avg'
24.3362 	EXP 	window1: blendMode = 'avg'
24.3527 	EXP 	window1: blendMode = 'avg'
24.3695 	EXP 	window1: blendMode = 'avg'
24.3863 	EXP 	window1: blendMode = 'avg'
