begin.keys,begin.rt,end_exp.keys,end_exp.rt,date,frameRate,expName,session,participant,
space,2.3346576029,,,2018_Oct_03_1205,59.9434089001,somatic_relaxation_sr,001,2,
,,space,299.029384422,2018_Oct_03_1205,59.9434089001,somatic_relaxation_sr,001,2,
